index	ROIName7	R	A	S	ROILabel17	ROIName17	name
1	7Networks_LH_Vis_1	-34	-40	-22	110	17Networks_LH_DorsAttnA_TempOcc_1	7Networks_LH_Vis_1
2	7Networks_LH_Vis_2	-30	-34	-16	338	17Networks_LH_DefaultC_PHC_3	7Networks_LH_Vis_2
3	7Networks_LH_Vis_3	-26	-46	-14	112	17Networks_LH_DorsAttnA_TempOcc_3	7Networks_LH_Vis_3
4	7Networks_LH_Vis_4	-34	-58	-18	5	17Networks_LH_VisCent_ExStr_1	7Networks_LH_Vis_4
5	7Networks_LH_Vis_5	-44	-62	-16	113	17Networks_LH_DorsAttnA_TempOcc_4	7Networks_LH_Vis_5
6	7Networks_LH_Vis_6	-28	-68	-10	6	17Networks_LH_VisCent_ExStr_2	7Networks_LH_Vis_6
7	7Networks_LH_Vis_7	-34	-78	-16	7	17Networks_LH_VisCent_ExStr_3	7Networks_LH_Vis_7
8	7Networks_LH_Vis_8	-28	-48	-4	31	17Networks_LH_VisPeri_ExStrInf_1	7Networks_LH_Vis_8
9	7Networks_LH_Vis_9	-24	-58	-10	8	17Networks_LH_VisCent_ExStr_4	7Networks_LH_Vis_9
10	7Networks_LH_Vis_10	-20	-36	-14	339	17Networks_LH_DefaultC_PHC_4	7Networks_LH_Vis_10
11	7Networks_LH_Vis_11	-44	-76	-12	9	17Networks_LH_VisCent_ExStr_5	7Networks_LH_Vis_11
12	7Networks_LH_Vis_12	-18	-76	-10	10	17Networks_LH_VisCent_ExStr_6	7Networks_LH_Vis_12
13	7Networks_LH_Vis_13	-22	-50	-6	32	17Networks_LH_VisPeri_ExStrInf_2	7Networks_LH_Vis_13
14	7Networks_LH_Vis_14	-20	-88	-16	11	17Networks_LH_VisCent_ExStr_7	7Networks_LH_Vis_14
15	7Networks_LH_Vis_15	-34	-90	-16	12	17Networks_LH_VisCent_ExStr_8	7Networks_LH_Vis_15
16	7Networks_LH_Vis_16	-16	-38	-10	340	17Networks_LH_DefaultC_PHC_5	7Networks_LH_Vis_16
17	7Networks_LH_Vis_17	-12	-64	-4	33	17Networks_LH_VisPeri_ExStrInf_3	7Networks_LH_Vis_17
18	7Networks_LH_Vis_18	-14	-50	-8	34	17Networks_LH_VisPeri_ExStrInf_4	7Networks_LH_Vis_18
19	7Networks_LH_Vis_19	-6	-76	-6	35	17Networks_LH_VisPeri_ExStrInf_5	7Networks_LH_Vis_19
20	7Networks_LH_Vis_20	-44	-84	-4	13	17Networks_LH_VisCent_ExStr_9	7Networks_LH_Vis_20
21	7Networks_LH_Vis_21	-4	-88	-12	1	17Networks_LH_VisCent_Striate_1	7Networks_LH_Vis_21
22	7Networks_LH_Vis_22	-20	-98	-12	14	17Networks_LH_VisCent_ExStr_10	7Networks_LH_Vis_22
23	7Networks_LH_Vis_23	-14	-42	-4	36	17Networks_LH_VisPeri_ExStrInf_6	7Networks_LH_Vis_23
24	7Networks_LH_Vis_24	-8	-98	-12	2	17Networks_LH_VisCent_Striate_2	7Networks_LH_Vis_24
25	7Networks_LH_Vis_25	-32	-94	-2	15	17Networks_LH_VisCent_ExStr_11	7Networks_LH_Vis_25
26	7Networks_LH_Vis_26	-46	-76	6	16	17Networks_LH_VisCent_ExStr_12	7Networks_LH_Vis_26
27	7Networks_LH_Vis_27	-10	-60	2	25	17Networks_LH_VisPeri_StriCal_1	7Networks_LH_Vis_27
28	7Networks_LH_Vis_28	-18	-52	-2	37	17Networks_LH_VisPeri_ExStrInf_7	7Networks_LH_Vis_28
29	7Networks_LH_Vis_29	-6	-70	6	26	17Networks_LH_VisPeri_StriCal_2	7Networks_LH_Vis_29
30	7Networks_LH_Vis_30	-40	-88	4	17	17Networks_LH_VisCent_ExStr_13	7Networks_LH_Vis_30
31	7Networks_LH_Vis_31	-8	-84	4	27	17Networks_LH_VisPeri_StriCal_3	7Networks_LH_Vis_31
32	7Networks_LH_Vis_32	-12	-46	2	330	17Networks_LH_DefaultC_Rsp_1	7Networks_LH_Vis_32
33	7Networks_LH_Vis_33	-18	-102	2	18	17Networks_LH_VisCent_ExStr_14	7Networks_LH_Vis_33
34	7Networks_LH_Vis_34	-6	-94	0	3	17Networks_LH_VisCent_Striate_3	7Networks_LH_Vis_34
35	7Networks_LH_Vis_35	-6	-102	2	4	17Networks_LH_VisCent_Striate_4	7Networks_LH_Vis_35
36	7Networks_LH_Vis_36	-20	-56	4	38	17Networks_LH_VisPeri_ExStrInf_8	7Networks_LH_Vis_36
37	7Networks_LH_Vis_37	-32	-88	6	19	17Networks_LH_VisCent_ExStr_15	7Networks_LH_Vis_37
38	7Networks_LH_Vis_38	-24	-96	10	20	17Networks_LH_VisCent_ExStr_16	7Networks_LH_Vis_38
39	7Networks_LH_Vis_39	-20	-66	6	28	17Networks_LH_VisPeri_StriCal_4	7Networks_LH_Vis_39
40	7Networks_LH_Vis_40	-10	-74	10	29	17Networks_LH_VisPeri_StriCal_5	7Networks_LH_Vis_40
41	7Networks_LH_Vis_41	-50	-72	16	117	17Networks_LH_DorsAttnA_ParOcc_1	7Networks_LH_Vis_41
42	7Networks_LH_Vis_42	-2	-80	12	30	17Networks_LH_VisPeri_StriCal_6	7Networks_LH_Vis_42
43	7Networks_LH_Vis_43	-12	-98	16	21	17Networks_LH_VisCent_ExStr_17	7Networks_LH_Vis_43
44	7Networks_LH_Vis_44	-42	-82	16	118	17Networks_LH_DorsAttnA_ParOcc_2	7Networks_LH_Vis_44
45	7Networks_LH_Vis_45	-32	-90	16	22	17Networks_LH_VisCent_ExStr_18	7Networks_LH_Vis_45
46	7Networks_LH_Vis_46	-4	-92	18	39	17Networks_LH_VisPeri_ExStrSup_1	7Networks_LH_Vis_46
47	7Networks_LH_Vis_47	-16	-64	14	40	17Networks_LH_VisPeri_ExStrSup_2	7Networks_LH_Vis_47
48	7Networks_LH_Vis_48	-8	-68	16	41	17Networks_LH_VisPeri_ExStrSup_3	7Networks_LH_Vis_48
49	7Networks_LH_Vis_49	-20	-90	20	23	17Networks_LH_VisCent_ExStr_19	7Networks_LH_Vis_49
50	7Networks_LH_Vis_50	-2	-80	24	42	17Networks_LH_VisPeri_ExStrSup_4	7Networks_LH_Vis_50
51	7Networks_LH_Vis_51	-32	-84	24	120	17Networks_LH_DorsAttnA_ParOcc_4	7Networks_LH_Vis_51
52	7Networks_LH_Vis_52	-14	-74	24	43	17Networks_LH_VisPeri_ExStrSup_5	7Networks_LH_Vis_52
53	7Networks_LH_Vis_53	-16	-90	30	44	17Networks_LH_VisPeri_ExStrSup_6	7Networks_LH_Vis_53
54	7Networks_LH_Vis_54	-8	-88	34	45	17Networks_LH_VisPeri_ExStrSup_7	7Networks_LH_Vis_54
55	7Networks_LH_Vis_55	-26	-80	26	24	17Networks_LH_VisCent_ExStr_20	7Networks_LH_Vis_55
56	7Networks_LH_Vis_56	-12	-82	36	46	17Networks_LH_VisPeri_ExStrSup_8	7Networks_LH_Vis_56
57	7Networks_LH_Vis_57	-22	-84	42	122	17Networks_LH_DorsAttnA_SPL_2	7Networks_LH_Vis_57
58	7Networks_LH_Vis_58	-16	-82	48	47	17Networks_LH_VisPeri_ExStrSup_9	7Networks_LH_Vis_58
59	7Networks_LH_SomMot_1	-50	6	-8	102	17Networks_LH_SomMotB_Aud_1	7Networks_LH_SomMot_1
60	7Networks_LH_SomMot_2	-56	-4	0	103	17Networks_LH_SomMotB_Aud_2	7Networks_LH_SomMot_2
61	7Networks_LH_SomMot_3	-56	-16	6	104	17Networks_LH_SomMotB_Aud_3	7Networks_LH_SomMot_3
62	7Networks_LH_SomMot_4	-44	-20	4	105	17Networks_LH_SomMotB_Aud_4	7Networks_LH_SomMot_4
63	7Networks_LH_SomMot_5	-60	-26	10	106	17Networks_LH_SomMotB_Aud_5	7Networks_LH_SomMot_5
64	7Networks_LH_SomMot_6	-64	-36	8	346	17Networks_LH_TempPar_6	7Networks_LH_SomMot_6
65	7Networks_LH_SomMot_7	-36	-14	12	92	17Networks_LH_SomMotB_S2_1	7Networks_LH_SomMot_7
66	7Networks_LH_SomMot_8	-46	-26	8	107	17Networks_LH_SomMotB_Aud_6	7Networks_LH_SomMot_8
67	7Networks_LH_SomMot_9	-34	-26	12	101	17Networks_LH_SomMotB_Ins_1	7Networks_LH_SomMot_9
68	7Networks_LH_SomMot_10	-40	-14	18	93	17Networks_LH_SomMotB_S2_2	7Networks_LH_SomMot_10
69	7Networks_LH_SomMot_11	-58	-36	16	108	17Networks_LH_SomMotB_Aud_7	7Networks_LH_SomMot_11
