index	ROIName7	R	A	S	ROILabel17	ROIName17	name
1	7Networks_LH_Vis_1	-36	-36	-24	148	17Networks_LH_DorsAttnA_TempOcc_1	7Networks_LH_Vis_1
2	7Networks_LH_Vis_2	-34	-52	-18	5	17Networks_LH_VisCent_ExStr_1	7Networks_LH_Vis_2
3	7Networks_LH_Vis_3	-26	-44	-14	151	17Networks_LH_DorsAttnA_TempOcc_4	7Networks_LH_Vis_3
4	7Networks_LH_Vis_4	-28	-64	-12	6	17Networks_LH_VisCent_ExStr_2	7Networks_LH_Vis_4
5	7Networks_LH_Vis_5	-32	-42	-10	482	17Networks_LH_DefaultC_PHC_4	7Networks_LH_Vis_5
6	7Networks_LH_Vis_6	-34	-68	-16	7	17Networks_LH_VisCent_ExStr_3	7Networks_LH_Vis_6
7	7Networks_LH_Vis_7	-46	-66	-18	152	17Networks_LH_DorsAttnA_TempOcc_5	7Networks_LH_Vis_7
8	7Networks_LH_Vis_8	-24	-58	-8	45	17Networks_LH_VisPeri_ExStrInf_1	7Networks_LH_Vis_8
9	7Networks_LH_Vis_9	-36	-80	-14	8	17Networks_LH_VisCent_ExStr_4	7Networks_LH_Vis_9
10	7Networks_LH_Vis_10	-26	-80	-14	9	17Networks_LH_VisCent_ExStr_5	7Networks_LH_Vis_10
11	7Networks_LH_Vis_11	-22	-74	-8	10	17Networks_LH_VisCent_ExStr_6	7Networks_LH_Vis_11
12	7Networks_LH_Vis_12	-44	-72	-10	11	17Networks_LH_VisCent_ExStr_7	7Networks_LH_Vis_12
13	7Networks_LH_Vis_13	-22	-50	-6	46	17Networks_LH_VisPeri_ExStrInf_2	7Networks_LH_Vis_13
14	7Networks_LH_Vis_14	-20	-88	-16	12	17Networks_LH_VisCent_ExStr_8	7Networks_LH_Vis_14
15	7Networks_LH_Vis_15	-42	-84	-14	13	17Networks_LH_VisCent_ExStr_9	7Networks_LH_Vis_15
16	7Networks_LH_Vis_16	-14	-70	-10	47	17Networks_LH_VisPeri_ExStrInf_3	7Networks_LH_Vis_16
17	7Networks_LH_Vis_17	-12	-84	-14	14	17Networks_LH_VisCent_ExStr_10	7Networks_LH_Vis_17
18	7Networks_LH_Vis_18	-30	-92	-18	15	17Networks_LH_VisCent_ExStr_11	7Networks_LH_Vis_18
19	7Networks_LH_Vis_19	-14	-64	-6	48	17Networks_LH_VisPeri_ExStrInf_4	7Networks_LH_Vis_19
20	7Networks_LH_Vis_20	-16	-38	-10	484	17Networks_LH_DefaultC_PHC_6	7Networks_LH_Vis_20
21	7Networks_LH_Vis_21	-46	-72	-2	155	17Networks_LH_DorsAttnA_TempOcc_8	7Networks_LH_Vis_21
22	7Networks_LH_Vis_22	-14	-50	-8	49	17Networks_LH_VisPeri_ExStrInf_5	7Networks_LH_Vis_22
