index	ROIName7	R	A	S	ROILabel17	ROIName17	name
1	7Networks_LH_Vis_1	-34	-44	-20	141	17Networks_LH_DorsAttnA_TempOcc_2	7Networks_LH_Vis_1
2	7Networks_LH_Vis_2	-28	-38	-20	435	17Networks_LH_DefaultC_PHC_3	7Networks_LH_Vis_2
3	7Networks_LH_Vis_3	-38	-60	-18	4	17Networks_LH_VisCent_ExStr_1	7Networks_LH_Vis_3
4	7Networks_LH_Vis_4	-32	-40	-12	436	17Networks_LH_DefaultC_PHC_4	7Networks_LH_Vis_4
5	7Networks_LH_Vis_5	-28	-60	-14	5	17Networks_LH_VisCent_ExStr_2	7Networks_LH_Vis_5
6	7Networks_LH_Vis_6	-38	-72	-16	6	17Networks_LH_VisCent_ExStr_3	7Networks_LH_Vis_6
7	7Networks_LH_Vis_7	-28	-76	-14	7	17Networks_LH_VisCent_ExStr_4	7Networks_LH_Vis_7
8	7Networks_LH_Vis_8	-24	-58	-10	8	17Networks_LH_VisCent_ExStr_5	7Networks_LH_Vis_8
9	7Networks_LH_Vis_9	-24	-72	-8	9	17Networks_LH_VisCent_ExStr_6	7Networks_LH_Vis_9
10	7Networks_LH_Vis_10	-28	-48	-4	41	17Networks_LH_VisPeri_ExStrInf_1	7Networks_LH_Vis_10
11	7Networks_LH_Vis_11	-28	-86	-16	10	17Networks_LH_VisCent_ExStr_7	7Networks_LH_Vis_11
12	7Networks_LH_Vis_12	-46	-72	-10	11	17Networks_LH_VisCent_ExStr_8	7Networks_LH_Vis_12
13	7Networks_LH_Vis_13	-40	-82	-16	12	17Networks_LH_VisCent_ExStr_9	7Networks_LH_Vis_13
14	7Networks_LH_Vis_14	-18	-80	-12	13	17Networks_LH_VisCent_ExStr_10	7Networks_LH_Vis_14
15	7Networks_LH_Vis_15	-18	-58	-6	42	17Networks_LH_VisPeri_ExStrInf_2	7Networks_LH_Vis_15
16	7Networks_LH_Vis_16	-16	-72	-10	14	17Networks_LH_VisCent_ExStr_11	7Networks_LH_Vis_16
17	7Networks_LH_Vis_17	-20	-50	-6	43	17Networks_LH_VisPeri_ExStrInf_3	7Networks_LH_Vis_17
18	7Networks_LH_Vis_18	-16	-88	-16	15	17Networks_LH_VisCent_ExStr_12	7Networks_LH_Vis_18
19	7Networks_LH_Vis_19	-16	-38	-10	438	17Networks_LH_DefaultC_PHC_6	7Networks_LH_Vis_19
20	7Networks_LH_Vis_20	-32	-92	-14	16	17Networks_LH_VisCent_ExStr_13	7Networks_LH_Vis_20
21	7Networks_LH_Vis_21	-12	-64	-4	44	17Networks_LH_VisPeri_ExStrInf_4	7Networks_LH_Vis_21
22	7Networks_LH_Vis_22	-18	-98	-16	17	17Networks_LH_VisCent_ExStr_14	7Networks_LH_Vis_22
23	7Networks_LH_Vis_23	-12	-50	-6	45	17Networks_LH_VisPeri_ExStrInf_5	7Networks_LH_Vis_23
24	7Networks_LH_Vis_24	-6	-76	-6	46	17Networks_LH_VisPeri_ExStrInf_6	7Networks_LH_Vis_24
25	7Networks_LH_Vis_25	-4	-86	-12	18	17Networks_LH_VisCent_ExStr_15	7Networks_LH_Vis_25
26	7Networks_LH_Vis_26	-44	-84	-4	19	17Networks_LH_VisCent_ExStr_16	7Networks_LH_Vis_26
27	7Networks_LH_Vis_27	-8	-96	-12	1	17Networks_LH_VisCent_Striate_1	7Networks_LH_Vis_27
28	7Networks_LH_Vis_28	-14	-42	-4	47	17Networks_LH_VisPeri_ExStrInf_7	7Networks_LH_Vis_28
29	7Networks_LH_Vis_29	-24	-100	-8	20	17Networks_LH_VisCent_ExStr_17	7Networks_LH_Vis_29
30	7Networks_LH_Vis_30	-8	-62	2	33	17Networks_LH_VisPeri_StriCal_1	7Networks_LH_Vis_30
31	7Networks_LH_Vis_31	-34	-92	-2	21	17Networks_LH_VisCent_ExStr_18	7Networks_LH_Vis_31
32	7Networks_LH_Vis_32	-46	-76	4	22	17Networks_LH_VisCent_ExStr_19	7Networks_LH_Vis_32
33	7Networks_LH_Vis_33	-4	-68	6	34	17Networks_LH_VisPeri_StriCal_2	7Networks_LH_Vis_33
34	7Networks_LH_Vis_34	-16	-54	0	48	17Networks_LH_VisPeri_ExStrInf_8	7Networks_LH_Vis_34
35	7Networks_LH_Vis_35	-6	-86	0	35	17Networks_LH_VisPeri_StriCal_3	7Networks_LH_Vis_35
36	7Networks_LH_Vis_36	-12	-44	2	49	17Networks_LH_VisPeri_ExStrInf_9	7Networks_LH_Vis_36
37	7Networks_LH_Vis_37	-42	-88	6	23	17Networks_LH_VisCent_ExStr_20	7Networks_LH_Vis_37
38	7Networks_LH_Vis_38	-8	-104	-2	2	17Networks_LH_VisCent_Striate_2	7Networks_LH_Vis_38
39	7Networks_LH_Vis_39	-14	-68	4	36	17Networks_LH_VisPeri_StriCal_4	7Networks_LH_Vis_39
40	7Networks_LH_Vis_40	-6	-96	0	3	17Networks_LH_VisCent_Striate_3	7Networks_LH_Vis_40
41	7Networks_LH_Vis_41	-22	-100	4	24	17Networks_LH_VisCent_ExStr_21	7Networks_LH_Vis_41
42	7Networks_LH_Vis_42	-10	-78	8	37	17Networks_LH_VisPeri_StriCal_5	7Networks_LH_Vis_42
43	7Networks_LH_Vis_43	-10	-48	4	429	17Networks_LH_DefaultC_Rsp_1	7Networks_LH_Vis_43
44	7Networks_LH_Vis_44	-30	-90	8	25	17Networks_LH_VisCent_ExStr_22	7Networks_LH_Vis_44
45	7Networks_LH_Vis_45	-22	-60	6	50	17Networks_LH_VisPeri_ExStrSup_1	7Networks_LH_Vis_45
46	7Networks_LH_Vis_46	-52	-74	14	147	17Networks_LH_DorsAttnA_ParOcc_1	7Networks_LH_Vis_46
47	7Networks_LH_Vis_47	-16	-72	8	38	17Networks_LH_VisPeri_StriCal_6	7Networks_LH_Vis_47
48	7Networks_LH_Vis_48	-2	-86	8	39	17Networks_LH_VisPeri_StriCal_7	7Networks_LH_Vis_48
49	7Networks_LH_Vis_49	-40	-80	14	26	17Networks_LH_VisCent_ExStr_23	7Networks_LH_Vis_49
50	7Networks_LH_Vis_50	-12	-100	12	27	17Networks_LH_VisCent_ExStr_24	7Networks_LH_Vis_50
51	7Networks_LH_Vis_51	-18	-60	8	51	17Networks_LH_VisPeri_ExStrSup_2	7Networks_LH_Vis_51
52	7Networks_LH_Vis_52	-24	-96	14	28	17Networks_LH_VisCent_ExStr_25	7Networks_LH_Vis_52
53	7Networks_LH_Vis_53	-6	-74	12	40	17Networks_LH_VisPeri_StriCal_8	7Networks_LH_Vis_53
54	7Networks_LH_Vis_54	-2	-96	12	52	17Networks_LH_VisPeri_ExStrSup_3	7Networks_LH_Vis_54
55	7Networks_LH_Vis_55	-16	-64	12	53	17Networks_LH_VisPeri_ExStrSup_4	7Networks_LH_Vis_55
56	7Networks_LH_Vis_56	-32	-90	16	29	17Networks_LH_VisCent_ExStr_26	7Networks_LH_Vis_56
57	7Networks_LH_Vis_57	-6	-68	16	54	17Networks_LH_VisPeri_ExStrSup_5	7Networks_LH_Vis_57
58	7Networks_LH_Vis_58	-2	-84	20	55	17Networks_LH_VisPeri_ExStrSup_6	7Networks_LH_Vis_58
59	7Networks_LH_Vis_59	-18	-92	22	30	17Networks_LH_VisCent_ExStr_27	7Networks_LH_Vis_59
60	7Networks_LH_Vis_60	-40	-86	22	150	17Networks_LH_DorsAttnA_ParOcc_4	7Networks_LH_Vis_60
61	7Networks_LH_Vis_61	-6	-94	24	56	17Networks_LH_VisPeri_ExStrSup_7	7Networks_LH_Vis_61
62	7Networks_LH_Vis_62	-16	-70	20	57	17Networks_LH_VisPeri_ExStrSup_8	7Networks_LH_Vis_62
63	7Networks_LH_Vis_63	-16	-64	22	432	17Networks_LH_DefaultC_Rsp_4	7Networks_LH_Vis_63
64	7Networks_LH_Vis_64	-26	-84	20	31	17Networks_LH_VisCent_ExStr_28	7Networks_LH_Vis_64
65	7Networks_LH_Vis_65	-8	-76	26	58	17Networks_LH_VisPeri_ExStrSup_9	7Networks_LH_Vis_65
66	7Networks_LH_Vis_66	-32	-84	26	151	17Networks_LH_DorsAttnA_ParOcc_5	7Networks_LH_Vis_66
67	7Networks_LH_Vis_67	-6	-86	36	59	17Networks_LH_VisPeri_ExStrSup_10	7Networks_LH_Vis_67
68	7Networks_LH_Vis_68	-18	-90	34	60	17Networks_LH_VisPeri_ExStrSup_11	7Networks_LH_Vis_68
69	7Networks_LH_Vis_69	-24	-82	28	32	17Networks_LH_VisCent_ExStr_29	7Networks_LH_Vis_69
70	7Networks_LH_Vis_70	-16	-72	30	61	17Networks_LH_VisPeri_ExStrSup_12	7Networks_LH_Vis_70
71	7Networks_LH_Vis_71	-30	-74	26	152	17Networks_LH_DorsAttnA_ParOcc_6	7Networks_LH_Vis_71
72	7Networks_LH_Vis_72	-12	-80	36	62	17Networks_LH_VisPeri_ExStrSup_13	7Networks_LH_Vis_72
73	7Networks_LH_Vis_73	-18	-86	44	63	17Networks_LH_VisPeri_ExStrSup_14	7Networks_LH_Vis_73
74	7Networks_LH_Vis_74	-22	-80	40	154	17Networks_LH_DorsAttnA_SPL_2	7Networks_LH_Vis_74
75	7Networks_LH_Vis_75	-12	-80	46	64	17Networks_LH_VisPeri_ExStrSup_15	7Networks_LH_Vis_75
76	7Networks_LH_SomMot_1	-50	4	-6	129	17Networks_LH_SomMotB_Aud_1	7Networks_LH_SomMot_1
77	7Networks_LH_SomMot_2	-58	-4	0	130	17Networks_LH_SomMotB_Aud_2	7Networks_LH_SomMot_2
78	7Networks_LH_SomMot_3	-48	-12	-2	131	17Networks_LH_SomMotB_Aud_3	7Networks_LH_SomMot_3
79	7Networks_LH_SomMot_4	-56	-16	6	132	17Networks_LH_SomMotB_Aud_4	7Networks_LH_SomMot_4
80	7Networks_LH_SomMot_5	-42	-20	4	133	17Networks_LH_SomMotB_Aud_5	7Networks_LH_SomMot_5
81	7Networks_LH_SomMot_6	-64	-30	6	443	17Networks_LH_TempPar_5	7Networks_LH_SomMot_6
82	7Networks_LH_SomMot_7	-60	-26	10	134	17Networks_LH_SomMotB_Aud_6	7Networks_LH_SomMot_7
83	7Networks_LH_SomMot_8	-36	-12	12	113	17Networks_LH_SomMotB_S2_1	7Networks_LH_SomMot_8
84	7Networks_LH_SomMot_9	-40	-24	12	135	17Networks_LH_SomMotB_Aud_7	7Networks_LH_SomMot_9
85	7Networks_LH_SomMot_10	-34	-22	10	128	17Networks_LH_SomMotB_Ins_1	7Networks_LH_SomMot_10
86	7Networks_LH_SomMot_11	-60	-40	10	446	17Networks_LH_TempPar_8	7Networks_LH_SomMot_11
87	7Networks_LH_SomMot_12	-42	-30	8	136	17Networks_LH_SomMotB_Aud_8	7Networks_LH_SomMot_12
88	7Networks_LH_SomMot_13	-36	-14	18	114	17Networks_LH_SomMotB_S2_2	7Networks_LH_SomMot_13
89	7Networks_LH_SomMot_14	-48	-34	12	137	17Networks_LH_SomMotB_Aud_9	7Networks_LH_SomMot_14
90	7Networks_LH_SomMot_15	-34	-28	18	115	17Networks_LH_SomMotB_S2_3	7Networks_LH_SomMot_15
91	7Networks_LH_SomMot_16	-42	-14	18	116	17Networks_LH_SomMotB_S2_4	7Networks_LH_SomMot_16
92	7Networks_LH_SomMot_17	-60	-36	16	138	17Networks_LH_SomMotB_Aud_10	7Networks_LH_SomMot_17
93	7Networks_LH_SomMot_18	-48	-12	14	117	17Networks_LH_SomMotB_S2_5	7Networks_LH_SomMot_18
94	7Networks_LH_SomMot_19	-58	-6	8	118	17Networks_LH_SomMotB_S2_6	7Networks_LH_SomMot_19
95	7Networks_LH_SomMot_20	-40	-36	16	119	17Networks_LH_SomMotB_S2_7	7Networks_LH_SomMot_20
96	7Networks_LH_SomMot_21	-42	-26	20	120	17Networks_LH_SomMotB_S2_8	7Networks_LH_SomMot_21
97	7Networks_LH_SomMot_22	-60	0	12	121	17Networks_LH_SomMotB_S2_9	7Networks_LH_SomMot_22
98	7Networks_LH_SomMot_23	-58	-14	14	122	17Networks_LH_SomMotB_S2_10	7Networks_LH_SomMot_23
99	7Networks_LH_SomMot_24	-46	-40	20	139	17Networks_LH_SomMotB_Aud_11	7Networks_LH_SomMot_24
100	7Networks_LH_SomMot_25	-50	-22	18	123	17Networks_LH_SomMotB_S2_11	7Networks_LH_SomMot_25
