	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
28	29	7Networks_LH_Vis_29	-16	-88	34	7Networks_LH_Vis_29	#78138d	23	17Networks_LH_VisPeri_ExStrSup_4	17Networks_LH_VisPeri_ExStrSup_11	#ff0203
29	30	7Networks_LH_Vis_30	-12	-82	36	7Networks_LH_Vis_30	#781486	24	17Networks_LH_VisPeri_ExStrSup_5	17Networks_LH_VisPeri_ExStrSup_12	#ff0204
30	31	7Networks_LH_Vis_31	-22	-78	44	7Networks_LH_Vis_31	#781487	67	17Networks_LH_DorsAttnA_SPL_2	17Networks_LH_DorsAttnA_SPL_3	#4a9c3d
31	32	7Networks_LH_SomMot_1	-50	-10	0	7Networks_LH_SomMot_1	#4680b3	44	17Networks_LH_SomMotB_Aud_1	17Networks_LH_SomMotB_Aud_1	#2bcc9e
32	33	7Networks_LH_SomMot_2	-56	-22	8	7Networks_LH_SomMot_2	#4680b4	45	17Networks_LH_SomMotB_Aud_2	17Networks_LH_SomMotB_Aud_2	#2bcc9f
33	34	7Networks_LH_SomMot_3	-36	-24	10	7Networks_LH_SomMot_3	#4681ad	46	17Networks_LH_SomMotB_Ins_1	17Networks_LH_SomMotB_Aud_3	#2bcca0
34	35	7Networks_LH_SomMot_4	-38	-8	12	7Networks_LH_SomMot_4	#4681ae	47	17Networks_LH_SomMotB_S2_1	17Networks_LH_SomMotB_Aud_4	#2bcca1
35	36	7Networks_LH_SomMot_5	-36	-26	18	7Networks_LH_SomMot_5	#4681af	48	17Networks_LH_SomMotB_S2_2	17Networks_LH_SomMotB_Aud_5	#2bcca2
36	37	7Networks_LH_SomMot_6	-58	-36	16	7Networks_LH_SomMot_6	#4681b0	49	17Networks_LH_SomMotB_Aud_3	17Networks_LH_SomMotB_Aud_6	#2bcca3
37	38	7Networks_LH_SomMot_7	-40	-36	14	7Networks_LH_SomMot_7	#4681b1	50	17Networks_LH_SomMotB_Aud_4	17Networks_LH_SomMotB_Aud_7	#2bcca5
38	39	7Networks_LH_SomMot_8	-48	-12	14	7Networks_LH_SomMot_8	#4681b2	51	17Networks_LH_SomMotB_S2_3	17Networks_LH_SomMotB_Aud_8	#2bcca6
39	40	7Networks_LH_SomMot_9	-60	-2	10	7Networks_LH_SomMot_9	#4681b3	52	17Networks_LH_SomMotB_S2_4	17Networks_LH_SomMotB_Aud_9	#2bcca7
40	41	7Networks_LH_SomMot_10	-48	-24	18	7Networks_LH_SomMot_10	#4681b4	53	17Networks_LH_SomMotB_S2_5	17Networks_LH_SomMotB_Aud_10	#2bcca8
41	42	7Networks_LH_SomMot_11	-62	-18	20	7Networks_LH_SomMot_11	#4682ad	54	17Networks_LH_SomMotB_S2_6	17Networks_LH_SomMotB_Aud_11	#2bcca9
42	43	7Networks_LH_SomMot_12	-60	-2	24	7Networks_LH_SomMot_12	#4682ae	55	17Networks_LH_SomMotB_Cent_1	17Networks_LH_SomMotB_Aud_12	#2bccaa
