index	label	network_label	label_7network	index_17network	label_17network	network_label_17network
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	49	17Networks_LH_DefaultC_PHC_1	DefaultC
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	1	17Networks_LH_VisCent_ExStr_1	VisCent
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	5	17Networks_LH_VisPeri_ExStrInf_1	VisPeri
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	2	17Networks_LH_VisCent_ExStr_2	VisCent
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	3	17Networks_LH_VisCent_Striate_1	VisCent
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	6	17Networks_LH_VisPeri_StriCal_1	VisPeri
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	15	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	4	17Networks_LH_VisCent_ExStr_3	VisCent
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	7	17Networks_LH_VisPeri_ExStrSup_1	VisPeri
10	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	10	17Networks_LH_SomMotB_Aud_1	SomMotB
11	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	11	17Networks_LH_SomMotB_S2_1	SomMotB
12	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	12	17Networks_LH_SomMotB_S2_2	SomMotB
13	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	13	17Networks_LH_SomMotB_Cent_1	SomMotB
14	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	8	17Networks_LH_SomMotA_1	SomMotA
15	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	9	17Networks_LH_SomMotA_2	SomMotA
16	LH_DorsAttn_Post_1	DorsAttn	7Networks_LH_DorsAttn_Post_1	14	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA
17	LH_DorsAttn_Post_2	DorsAttn	7Networks_LH_DorsAttn_Post_2	17	17Networks_LH_DorsAttnB_PostC_1	DorsAttnB
18	LH_DorsAttn_Post_3	DorsAttn	7Networks_LH_DorsAttn_Post_3	16	17Networks_LH_DorsAttnA_SPL_1	DorsAttnA
