index	ROIName7	R	A	S	ROILabel17	ROIName17	name
32	7Networks_LH_SomMot_8	-62	-4	14	43	17Networks_LH_SomMotB_S2_5	7Networks_LH_SomMot_8
33	7Networks_LH_SomMot_9	-60	-18	20	44	17Networks_LH_SomMotB_S2_6	7Networks_LH_SomMot_9
34	7Networks_LH_SomMot_10	-58	-6	28	45	17Networks_LH_SomMotB_Cent_1	7Networks_LH_SomMot_10
35	7Networks_LH_SomMot_11	-60	-22	36	57	17Networks_LH_DorsAttnB_PostC_1	7Networks_LH_SomMot_11
36	7Networks_LH_SomMot_12	-50	-8	42	46	17Networks_LH_SomMotB_Cent_2	7Networks_LH_SomMot_12
37	7Networks_LH_SomMot_13	-50	-16	44	47	17Networks_LH_SomMotB_Cent_3	7Networks_LH_SomMot_13
38	7Networks_LH_SomMot_14	-8	-10	46	21	17Networks_LH_SomMotA_1	7Networks_LH_SomMot_14
39	7Networks_LH_SomMot_15	-42	-12	50	22	17Networks_LH_SomMotA_2	7Networks_LH_SomMot_15
40	7Networks_LH_SomMot_16	-48	-28	56	23	17Networks_LH_SomMotA_3	7Networks_LH_SomMot_16
41	7Networks_LH_SomMot_17	-44	-20	54	24	17Networks_LH_SomMotA_4	7Networks_LH_SomMot_17
42	7Networks_LH_SomMot_18	-6	-24	52	25	17Networks_LH_SomMotA_5	7Networks_LH_SomMot_18
43	7Networks_LH_SomMot_19	-36	-20	64	26	17Networks_LH_SomMotA_6	7Networks_LH_SomMot_19
44	7Networks_LH_SomMot_20	-4	-8	60	27	17Networks_LH_SomMotA_7	7Networks_LH_SomMot_20
45	7Networks_LH_SomMot_21	-30	-46	64	60	17Networks_LH_DorsAttnB_PostC_4	7Networks_LH_SomMot_21
46	7Networks_LH_SomMot_22	-32	-30	62	28	17Networks_LH_SomMotA_8	7Networks_LH_SomMot_22
47	7Networks_LH_SomMot_23	-26	-38	68	29	17Networks_LH_SomMotA_9	7Networks_LH_SomMot_23
48	7Networks_LH_SomMot_24	-22	-12	68	30	17Networks_LH_SomMotA_10	7Networks_LH_SomMot_24
49	7Networks_LH_SomMot_25	-8	-42	66	31	17Networks_LH_SomMotA_11	7Networks_LH_SomMot_25
50	7Networks_LH_SomMot_26	-4	-26	66	32	17Networks_LH_SomMotA_12	7Networks_LH_SomMot_26
51	7Networks_LH_SomMot_27	-18	-48	70	33	17Networks_LH_SomMotA_13	7Networks_LH_SomMot_27
52	7Networks_LH_SomMot_28	-18	-32	70	34	17Networks_LH_SomMotA_14	7Networks_LH_SomMot_28
53	7Networks_LH_SomMot_29	-16	-24	70	35	17Networks_LH_SomMotA_15	7Networks_LH_SomMot_29
54	7Networks_LH_DorsAttn_Post_1	-48	-50	-18	49	17Networks_LH_DorsAttnA_TempOcc_2	7Networks_LH_DorsAttn_Post_1
55	7Networks_LH_DorsAttn_Post_2	-46	-68	-8	50	17Networks_LH_DorsAttnA_TempOcc_3	7Networks_LH_DorsAttn_Post_2
56	7Networks_LH_DorsAttn_Post_3	-56	-62	2	56	17Networks_LH_DorsAttnB_TempOcc_1	7Networks_LH_DorsAttn_Post_3
57	7Networks_LH_DorsAttn_Post_4	-48	-66	16	51	17Networks_LH_DorsAttnA_ParOcc_1	7Networks_LH_DorsAttn_Post_4
58	7Networks_LH_DorsAttn_Post_5	-26	-68	38	53	17Networks_LH_DorsAttnA_SPL_2	7Networks_LH_DorsAttn_Post_5
59	7Networks_LH_DorsAttn_Post_6	-54	-30	44	58	17Networks_LH_DorsAttnB_PostC_2	7Networks_LH_DorsAttn_Post_6
60	7Networks_LH_DorsAttn_Post_7	-30	-58	48	92	17Networks_LH_ContA_IPS_3	7Networks_LH_DorsAttn_Post_7
61	7Networks_LH_DorsAttn_Post_8	-42	-34	46	59	17Networks_LH_DorsAttnB_PostC_3	7Networks_LH_DorsAttn_Post_8
62	7Networks_LH_DorsAttn_Post_9	-34	-48	46	93	17Networks_LH_ContA_IPS_4	7Networks_LH_DorsAttn_Post_9
63	7Networks_LH_DorsAttn_Post_10	-16	-72	54	54	17Networks_LH_DorsAttnA_SPL_3	7Networks_LH_DorsAttn_Post_10
64	7Networks_LH_DorsAttn_Post_11	-30	-60	62	55	17Networks_LH_DorsAttnA_SPL_4	7Networks_LH_DorsAttn_Post_11
65	7Networks_LH_DorsAttn_Post_12	-12	-58	64	61	17Networks_LH_DorsAttnB_PostC_5	7Networks_LH_DorsAttn_Post_12
66	7Networks_LH_DorsAttn_FEF_1	-28	4	56	94	17Networks_LH_ContA_PFCd_1	7Networks_LH_DorsAttn_FEF_1
67	7Networks_LH_DorsAttn_FEF_2	-32	-4	52	62	17Networks_LH_DorsAttnB_FEF_1	7Networks_LH_DorsAttn_FEF_2
68	7Networks_LH_DorsAttn_FEF_3	-22	4	64	63	17Networks_LH_DorsAttnB_FEF_2	7Networks_LH_DorsAttn_FEF_3
69	7Networks_LH_DorsAttn_PrCv_1	-50	2	38	99	17Networks_LH_ContA_PFCl_4	7Networks_LH_DorsAttn_PrCv_1
70	7Networks_LH_SalVentAttn_ParOper_1	-58	-44	28	64	17Networks_LH_SalVentAttnA_ParOper_1	7Networks_LH_SalVentAttn_ParOper_1
71	7Networks_LH_SalVentAttn_ParOper_2	-60	-30	24	65	17Networks_LH_SalVentAttnA_ParOper_2	7Networks_LH_SalVentAttn_ParOper_2
72	7Networks_LH_SalVentAttn_ParOper_3	-60	-38	40	74	17Networks_LH_SalVentAttnB_IPL_1	7Networks_LH_SalVentAttn_ParOper_3
73	7Networks_LH_SalVentAttn_TempOcc_1	-54	-54	12	150	17Networks_LH_TempPar_5	7Networks_LH_SalVentAttn_TempOcc_1
74	7Networks_LH_SalVentAttn_FrOperIns_1	-40	-4	-4	66	17Networks_LH_SalVentAttnA_Ins_1	7Networks_LH_SalVentAttn_FrOperIns_1
75	7Networks_LH_SalVentAttn_FrOperIns_2	-32	24	-2	77	17Networks_LH_SalVentAttnB_Ins_1	7Networks_LH_SalVentAttn_FrOperIns_2
76	7Networks_LH_SalVentAttn_FrOperIns_3	-32	18	8	67	17Networks_LH_SalVentAttnA_Ins_2	7Networks_LH_SalVentAttn_FrOperIns_3
77	7Networks_LH_SalVentAttn_FrOperIns_4	-38	0	12	68	17Networks_LH_SalVentAttnA_Ins_3	7Networks_LH_SalVentAttn_FrOperIns_4
78	7Networks_LH_SalVentAttn_FrOperIns_5	-44	12	2	78	17Networks_LH_SalVentAttnB_Ins_2	7Networks_LH_SalVentAttn_FrOperIns_5
79	7Networks_LH_SalVentAttn_FrOperIns_6	-52	0	6	69	17Networks_LH_SalVentAttnA_FrOper_1	7Networks_LH_SalVentAttn_FrOperIns_6
80	7Networks_LH_SalVentAttn_FrOperIns_7	-50	8	20	96	17Networks_LH_ContA_PFCl_1	7Networks_LH_SalVentAttn_FrOperIns_7
81	7Networks_LH_SalVentAttn_PFCl_1	-28	46	28	75	17Networks_LH_SalVentAttnB_PFCl_1	7Networks_LH_SalVentAttn_PFCl_1
82	7Networks_LH_SalVentAttn_Med_1	-6	10	40	72	17Networks_LH_SalVentAttnA_FrMed_1	7Networks_LH_SalVentAttn_Med_1
83	7Networks_LH_SalVentAttn_Med_2	-12	-34	44	70	17Networks_LH_SalVentAttnA_ParMed_1	7Networks_LH_SalVentAttn_Med_2
84	7Networks_LH_SalVentAttn_Med_3	-6	-50	56	71	17Networks_LH_SalVentAttnA_ParMed_2	7Networks_LH_SalVentAttn_Med_3
85	7Networks_LH_SalVentAttn_Med_4	-12	-4	72	73	17Networks_LH_SalVentAttnA_FrMed_2	7Networks_LH_SalVentAttn_Med_4
86	7Networks_LH_Limbic_OFC_1	-24	22	-20	80	17Networks_LH_LimbicB_OFC_1	7Networks_LH_Limbic_OFC_1
87	7Networks_LH_Limbic_OFC_2	-8	24	-20	81	17Networks_LH_LimbicB_OFC_2	7Networks_LH_Limbic_OFC_2
88	7Networks_LH_Limbic_OFC_3	-10	48	-22	82	17Networks_LH_LimbicB_OFC_3	7Networks_LH_Limbic_OFC_3
89	7Networks_LH_Limbic_TempPole_1	-30	-4	-40	84	17Networks_LH_LimbicA_TempPole_1	7Networks_LH_Limbic_TempPole_1
90	7Networks_LH_Limbic_TempPole_2	-52	-16	-34	85	17Networks_LH_LimbicA_TempPole_2	7Networks_LH_Limbic_TempPole_2
91	7Networks_LH_Limbic_TempPole_3	-40	-20	-28	86	17Networks_LH_LimbicA_TempPole_3	7Networks_LH_Limbic_TempPole_3
92	7Networks_LH_Limbic_TempPole_4	-26	10	-34	87	17Networks_LH_LimbicA_TempPole_4	7Networks_LH_Limbic_TempPole_4
93	7Networks_LH_Limbic_TempPole_5	-42	12	-34	122	17Networks_LH_DefaultB_Temp_1	7Networks_LH_Limbic_TempPole_5
94	7Networks_LH_Limbic_TempPole_6	-20	-18	-28	143	17Networks_LH_DefaultC_PHC_1	7Networks_LH_Limbic_TempPole_6
95	7Networks_LH_Limbic_TempPole_7	-42	6	-20	88	17Networks_LH_LimbicA_TempPole_5	7Networks_LH_Limbic_TempPole_7
96	7Networks_LH_Cont_Par_1	-54	-50	44	102	17Networks_LH_ContB_IPL_1	7Networks_LH_Cont_Par_1
97	7Networks_LH_Cont_Par_2	-34	-66	48	90	17Networks_LH_ContA_IPS_1	7Networks_LH_Cont_Par_2
98	7Networks_LH_Cont_Par_3	-42	-52	48	103	17Networks_LH_ContB_IPL_2	7Networks_LH_Cont_Par_3
99	7Networks_LH_Cont_Par_4	-44	-42	46	91	17Networks_LH_ContA_IPS_2	7Networks_LH_Cont_Par_4
100	7Networks_LH_Cont_Temp_1	-60	-52	-10	89	17Networks_LH_ContA_Temp_1	7Networks_LH_Cont_Temp_1
101	7Networks_LH_Cont_OFC_1	-32	40	-14	136	17Networks_LH_DefaultB_PFCv_2	7Networks_LH_Cont_OFC_1
102	7Networks_LH_Cont_PFCl_1	-42	48	-6	104	17Networks_LH_ContB_PFClv_1	7Networks_LH_Cont_PFCl_1
103	7Networks_LH_Cont_PFCl_2	-28	56	6	105	17Networks_LH_ContB_PFClv_2	7Networks_LH_Cont_PFCl_2
104	7Networks_LH_Cont_PFCl_3	-42	42	14	95	17Networks_LH_ContA_PFClv_1	7Networks_LH_Cont_PFCl_3
105	7Networks_LH_Cont_PFCl_4	-44	22	24	97	17Networks_LH_ContA_PFCl_2	7Networks_LH_Cont_PFCl_4
106	7Networks_LH_Cont_PFCl_5	-38	34	36	76	17Networks_LH_SalVentAttnB_PFCl_2	7Networks_LH_Cont_PFCl_5
107	7Networks_LH_Cont_PFCl_6	-42	12	34	98	17Networks_LH_ContA_PFCl_3	7Networks_LH_Cont_PFCl_6
108	7Networks_LH_Cont_pCun_1	-10	-76	44	108	17Networks_LH_ContC_pCun_2	7Networks_LH_Cont_pCun_1
109	7Networks_LH_Cont_pCun_2	-4	-64	52	109	17Networks_LH_ContC_pCun_3	7Networks_LH_Cont_pCun_2
110	7Networks_LH_Cont_Cing_1	-4	-28	28	110	17Networks_LH_ContC_Cingp_1	7Networks_LH_Cont_Cing_1
111	7Networks_LH_Cont_Cing_2	-4	6	28	100	17Networks_LH_ContA_Cingm_1	7Networks_LH_Cont_Cing_2
112	7Networks_LH_Cont_PFCmp_1	-4	28	48	106	17Networks_LH_ContB_PFCmp_1	7Networks_LH_Cont_PFCmp_1
113	7Networks_LH_Default_Temp_1	-58	-8	-22	123	17Networks_LH_DefaultB_Temp_2	7Networks_LH_Default_Temp_1
114	7Networks_LH_Default_Temp_2	-60	-34	-18	101	17Networks_LH_ContB_Temp_1	7Networks_LH_Default_Temp_2
115	7Networks_LH_Default_Temp_3	-52	8	-12	146	17Networks_LH_TempPar_1	7Networks_LH_Default_Temp_3
116	7Networks_LH_Default_Temp_4	-56	-8	-6	147	17Networks_LH_TempPar_2	7Networks_LH_Default_Temp_4
117	7Networks_LH_Default_Temp_5	-52	-20	-8	124	17Networks_LH_DefaultB_Temp_3	7Networks_LH_Default_Temp_5
118	7Networks_LH_Default_Temp_6	-60	-36	-2	125	17Networks_LH_DefaultB_Temp_4	7Networks_LH_Default_Temp_6
119	7Networks_LH_Default_Temp_7	-60	-28	2	148	17Networks_LH_TempPar_3	7Networks_LH_Default_Temp_7
120	7Networks_LH_Default_Temp_8	-56	-44	8	149	17Networks_LH_TempPar_4	7Networks_LH_Default_Temp_8
121	7Networks_LH_Default_Par_1	-46	-60	24	126	17Networks_LH_DefaultB_IPL_1	7Networks_LH_Default_Par_1
122	7Networks_LH_Default_Par_2	-38	-80	32	140	17Networks_LH_DefaultC_IPL_1	7Networks_LH_Default_Par_2
123	7Networks_LH_Default_Par_3	-58	-54	28	127	17Networks_LH_DefaultB_IPL_2	7Networks_LH_Default_Par_3
124	7Networks_LH_Default_Par_4	-46	-66	40	111	17Networks_LH_DefaultA_IPL_1	7Networks_LH_Default_Par_4
125	7Networks_LH_Default_PFC_1	-36	20	-14	135	17Networks_LH_DefaultB_PFCv_1	7Networks_LH_Default_PFC_1
126	7Networks_LH_Default_PFC_2	-6	36	-10	119	17Networks_LH_DefaultA_PFCm_1	7Networks_LH_Default_PFC_2
127	7Networks_LH_Default_PFC_3	-46	32	-10	137	17Networks_LH_DefaultB_PFCv_3	7Networks_LH_Default_PFC_3
128	7Networks_LH_Default_PFC_4	-20	62	-8	83	17Networks_LH_LimbicB_OFC_4	7Networks_LH_Default_PFC_4
129	7Networks_LH_Default_PFC_5	-6	60	0	120	17Networks_LH_DefaultA_PFCm_2	7Networks_LH_Default_PFC_5
130	7Networks_LH_Default_PFC_6	-48	28	2	138	17Networks_LH_DefaultB_PFCv_4	7Networks_LH_Default_PFC_6
131	7Networks_LH_Default_PFC_7	-6	44	8	121	17Networks_LH_DefaultA_PFCm_3	7Networks_LH_Default_PFC_7
132	7Networks_LH_Default_PFC_8	-54	20	12	139	17Networks_LH_DefaultB_PFCv_5	7Networks_LH_Default_PFC_8
133	7Networks_LH_Default_PFC_9	-18	62	20	128	17Networks_LH_DefaultB_PFCd_1	7Networks_LH_Default_PFC_9
134	7Networks_LH_Default_PFC_10	-6	30	24	79	17Networks_LH_SalVentAttnB_PFCmp_1	7Networks_LH_Default_PFC_10
135	7Networks_LH_Default_PFC_11	-4	50	30	129	17Networks_LH_DefaultB_PFCd_2	7Networks_LH_Default_PFC_11
136	7Networks_LH_Default_PFC_12	-14	46	44	130	17Networks_LH_DefaultB_PFCd_3	7Networks_LH_Default_PFC_12
137	7Networks_LH_Default_PFC_13	-22	32	42	112	17Networks_LH_DefaultA_PFCd_1	7Networks_LH_Default_PFC_13
138	7Networks_LH_Default_PFC_14	-38	20	50	133	17Networks_LH_DefaultB_PFCl_1	7Networks_LH_Default_PFC_14
139	7Networks_LH_Default_PFC_15	-42	8	48	134	17Networks_LH_DefaultB_PFCl_2	7Networks_LH_Default_PFC_15
140	7Networks_LH_Default_PFC_16	-24	18	52	113	17Networks_LH_DefaultA_PFCd_2	7Networks_LH_Default_PFC_16
141	7Networks_LH_Default_PFC_17	-12	24	60	131	17Networks_LH_DefaultB_PFCd_4	7Networks_LH_Default_PFC_17
142	7Networks_LH_Default_PFC_18	-6	10	64	132	17Networks_LH_DefaultB_PFCd_5	7Networks_LH_Default_PFC_18
143	7Networks_LH_Default_pCunPCC_1	-10	-50	6	141	17Networks_LH_DefaultC_Rsp_1	7Networks_LH_Default_pCunPCC_1
144	7Networks_LH_Default_pCunPCC_2	-4	-52	16	114	17Networks_LH_DefaultA_pCunPCC_1	7Networks_LH_Default_pCunPCC_2
145	7Networks_LH_Default_pCunPCC_3	-14	-60	18	142	17Networks_LH_DefaultC_Rsp_2	7Networks_LH_Default_pCunPCC_3
146	7Networks_LH_Default_pCunPCC_4	-6	-56	28	115	17Networks_LH_DefaultA_pCunPCC_2	7Networks_LH_Default_pCunPCC_4
147	7Networks_LH_Default_pCunPCC_5	-10	-70	30	107	17Networks_LH_ContC_pCun_1	7Networks_LH_Default_pCunPCC_5
148	7Networks_LH_Default_pCunPCC_6	-4	-38	36	116	17Networks_LH_DefaultA_pCunPCC_3	7Networks_LH_Default_pCunPCC_6
149	7Networks_LH_Default_pCunPCC_7	-2	-16	38	117	17Networks_LH_DefaultA_pCunPCC_4	7Networks_LH_Default_pCunPCC_7
150	7Networks_LH_Default_pCunPCC_8	-6	-54	42	118	17Networks_LH_DefaultA_pCunPCC_5	7Networks_LH_Default_pCunPCC_8
151	7Networks_RH_Vis_1	34	-44	-20	151	17Networks_RH_VisCent_ExStr_1	7Networks_RH_Vis_1
152	7Networks_RH_Vis_2	28	-28	-20	293	17Networks_RH_DefaultC_PHC_1	7Networks_RH_Vis_2
153	7Networks_RH_Vis_3	26	-54	-8	152	17Networks_RH_VisCent_ExStr_2	7Networks_RH_Vis_3
154	7Networks_RH_Vis_4	28	-74	-12	153	17Networks_RH_VisCent_ExStr_3	7Networks_RH_Vis_4
155	7Networks_RH_Vis_5	18	-36	-12	162	17Networks_RH_VisPeri_ExStrInf_1	7Networks_RH_Vis_5
156	7Networks_RH_Vis_6	48	-76	-10	154	17Networks_RH_VisCent_ExStr_4	7Networks_RH_Vis_6
157	7Networks_RH_Vis_7	10	-72	-4	163	17Networks_RH_VisPeri_ExStrInf_2	7Networks_RH_Vis_7
158	7Networks_RH_Vis_8	14	-58	-4	164	17Networks_RH_VisPeri_ExStrInf_3	7Networks_RH_Vis_8
159	7Networks_RH_Vis_9	6	-88	-10	155	17Networks_RH_VisCent_ExStr_5	7Networks_RH_Vis_9
160	7Networks_RH_Vis_10	24	-94	-10	156	17Networks_RH_VisCent_ExStr_6	7Networks_RH_Vis_10
161	7Networks_RH_Vis_11	18	-46	0	165	17Networks_RH_VisPeri_ExStrInf_4	7Networks_RH_Vis_11
162	7Networks_RH_Vis_12	48	-64	4	196	17Networks_RH_DorsAttnA_ParOcc_1	7Networks_RH_Vis_12
163	7Networks_RH_Vis_13	10	-94	2	157	17Networks_RH_VisCent_Striate_1	7Networks_RH_Vis_13
164	7Networks_RH_Vis_14	36	-90	2	158	17Networks_RH_VisCent_ExStr_7	7Networks_RH_Vis_14
165	7Networks_RH_Vis_15	8	-74	8	166	17Networks_RH_VisPeri_StriCal_1	7Networks_RH_Vis_15
166	7Networks_RH_Vis_16	22	-60	6	167	17Networks_RH_VisPeri_StriCal_2	7Networks_RH_Vis_16
167	7Networks_RH_Vis_17	18	-98	14	159	17Networks_RH_VisCent_ExStr_8	7Networks_RH_Vis_17
168	7Networks_RH_Vis_18	44	-78	10	160	17Networks_RH_VisCent_ExStr_9	7Networks_RH_Vis_18
169	7Networks_RH_Vis_19	8	-88	24	168	17Networks_RH_VisPeri_ExStrSup_1	7Networks_RH_Vis_19
170	7Networks_RH_Vis_20	12	-72	26	169	17Networks_RH_VisPeri_ExStrSup_2	7Networks_RH_Vis_20
171	7Networks_RH_Vis_21	28	-86	24	161	17Networks_RH_VisCent_ExStr_10	7Networks_RH_Vis_21
172	7Networks_RH_Vis_22	36	-78	26	198	17Networks_RH_DorsAttnA_ParOcc_3	7Networks_RH_Vis_22
173	7Networks_RH_Vis_23	20	-84	42	170	17Networks_RH_VisPeri_ExStrSup_3	7Networks_RH_Vis_23
174	7Networks_RH_SomMot_1	52	-10	2	186	17Networks_RH_SomMotB_Aud_1	7Networks_RH_SomMot_1
175	7Networks_RH_SomMot_2	62	-18	0	296	17Networks_RH_TempPar_3	7Networks_RH_SomMot_2
176	7Networks_RH_SomMot_3	36	-20	14	187	17Networks_RH_SomMotB_S2_1	7Networks_RH_SomMot_3
177	7Networks_RH_SomMot_4	40	-10	14	188	17Networks_RH_SomMotB_S2_2	7Networks_RH_SomMot_4
178	7Networks_RH_SomMot_5	60	-24	12	189	17Networks_RH_SomMotB_Aud_2	7Networks_RH_SomMot_5
179	7Networks_RH_SomMot_6	60	-38	12	299	17Networks_RH_TempPar_6	7Networks_RH_SomMot_6
180	7Networks_RH_SomMot_7	42	-28	18	190	17Networks_RH_SomMotB_S2_3	7Networks_RH_SomMot_7
181	7Networks_RH_SomMot_8	60	0	10	191	17Networks_RH_SomMotB_S2_4	7Networks_RH_SomMot_8
182	7Networks_RH_SomMot_9	54	-14	16	192	17Networks_RH_SomMotB_S2_5	7Networks_RH_SomMot_9
183	7Networks_RH_SomMot_10	62	-4	26	193	17Networks_RH_SomMotB_Cent_1	7Networks_RH_SomMot_10
184	7Networks_RH_SomMot_11	58	-14	34	203	17Networks_RH_DorsAttnB_PostC_1	7Networks_RH_SomMot_11
185	7Networks_RH_SomMot_12	52	-8	36	194	17Networks_RH_SomMotB_Cent_2	7Networks_RH_SomMot_12
186	7Networks_RH_SomMot_13	52	-12	50	171	17Networks_RH_SomMotA_1	7Networks_RH_SomMot_13
187	7Networks_RH_SomMot_14	46	-10	48	172	17Networks_RH_SomMotA_2	7Networks_RH_SomMot_14
188	7Networks_RH_SomMot_15	50	-24	54	173	17Networks_RH_SomMotA_3	7Networks_RH_SomMot_15
189	7Networks_RH_SomMot_16	8	-10	50	174	17Networks_RH_SomMotA_4	7Networks_RH_SomMot_16
190	7Networks_RH_SomMot_17	40	-24	58	175	17Networks_RH_SomMotA_5	7Networks_RH_SomMot_17
191	7Networks_RH_SomMot_18	34	-42	64	206	17Networks_RH_DorsAttnB_PostC_4	7Networks_RH_SomMot_18
192	7Networks_RH_SomMot_19	34	-34	62	176	17Networks_RH_SomMotA_6	7Networks_RH_SomMot_19
193	7Networks_RH_SomMot_20	36	-20	64	177	17Networks_RH_SomMotA_7	7Networks_RH_SomMot_20
194	7Networks_RH_SomMot_21	8	-40	64	178	17Networks_RH_SomMotA_8	7Networks_RH_SomMot_21
195	7Networks_RH_SomMot_22	4	-22	66	179	17Networks_RH_SomMotA_9	7Networks_RH_SomMot_22
196	7Networks_RH_SomMot_23	24	-28	66	180	17Networks_RH_SomMotA_10	7Networks_RH_SomMot_23
197	7Networks_RH_SomMot_24	22	-34	70	181	17Networks_RH_SomMotA_11	7Networks_RH_SomMot_24
198	7Networks_RH_SomMot_25	22	-24	68	182	17Networks_RH_SomMotA_12	7Networks_RH_SomMot_25
199	7Networks_RH_SomMot_26	18	-10	70	183	17Networks_RH_SomMotA_13	7Networks_RH_SomMot_26
200	7Networks_RH_SomMot_27	12	-38	76	184	17Networks_RH_SomMotA_14	7Networks_RH_SomMot_27
201	7Networks_RH_SomMot_28	12	-30	72	185	17Networks_RH_SomMotA_15	7Networks_RH_SomMot_28
202	7Networks_RH_DorsAttn_Post_1	50	-54	-16	195	17Networks_RH_DorsAttnA_TempOcc_1	7Networks_RH_DorsAttn_Post_1
203	7Networks_RH_DorsAttn_Post_2	60	-52	-4	245	17Networks_RH_ContA_Temp_1	7Networks_RH_DorsAttn_Post_2
204	7Networks_RH_DorsAttn_Post_3	54	-56	14	197	17Networks_RH_DorsAttnA_ParOcc_2	7Networks_RH_DorsAttn_Post_3
205	7Networks_RH_DorsAttn_Post_4	34	-70	46	246	17Networks_RH_ContA_IPS_1	7Networks_RH_DorsAttn_Post_4
206	7Networks_RH_DorsAttn_Post_5	52	-34	52	247	17Networks_RH_ContA_IPS_2	7Networks_RH_DorsAttn_Post_5
207	7Networks_RH_DorsAttn_Post_6	54	-24	42	204	17Networks_RH_DorsAttnB_PostC_2	7Networks_RH_DorsAttn_Post_6
208	7Networks_RH_DorsAttn_Post_7	26	-68	42	199	17Networks_RH_DorsAttnA_SPL_1	7Networks_RH_DorsAttn_Post_7
209	7Networks_RH_DorsAttn_Post_8	40	-40	46	248	17Networks_RH_ContA_IPS_3	7Networks_RH_DorsAttn_Post_8
210	7Networks_RH_DorsAttn_Post_9	38	-32	46	205	17Networks_RH_DorsAttnB_PostC_3	7Networks_RH_DorsAttn_Post_9
211	7Networks_RH_DorsAttn_Post_10	16	-72	54	200	17Networks_RH_DorsAttnA_SPL_2	7Networks_RH_DorsAttn_Post_10
