index	ROIName7	R	A	S	ROILabel17	ROIName17	name
1	7Networks_LH_Vis_1	-34	-42	-22	48	17Networks_LH_DorsAttnA_TempOcc_1	7Networks_LH_Vis_1
2	7Networks_LH_Vis_2	-28	-34	-18	144	17Networks_LH_DefaultC_PHC_2	7Networks_LH_Vis_2
3	7Networks_LH_Vis_3	-34	-64	-16	1	17Networks_LH_VisCent_ExStr_1	7Networks_LH_Vis_3
4	7Networks_LH_Vis_4	-24	-54	-8	12	17Networks_LH_VisPeri_ExStrInf_1	7Networks_LH_Vis_4
5	7Networks_LH_Vis_5	-22	-72	-10	2	17Networks_LH_VisCent_ExStr_2	7Networks_LH_Vis_5
6	7Networks_LH_Vis_6	-22	-84	-16	3	17Networks_LH_VisCent_ExStr_3	7Networks_LH_Vis_6
7	7Networks_LH_Vis_7	-16	-38	-10	145	17Networks_LH_DefaultC_PHC_3	7Networks_LH_Vis_7
8	7Networks_LH_Vis_8	-42	-84	-10	4	17Networks_LH_VisCent_ExStr_4	7Networks_LH_Vis_8
9	7Networks_LH_Vis_9	-12	-62	-4	13	17Networks_LH_VisPeri_ExStrInf_2	7Networks_LH_Vis_9
10	7Networks_LH_Vis_10	-6	-76	-6	14	17Networks_LH_VisPeri_ExStrInf_3	7Networks_LH_Vis_10
11	7Networks_LH_Vis_11	-22	-98	-12	5	17Networks_LH_VisCent_ExStr_5	7Networks_LH_Vis_11
12	7Networks_LH_Vis_12	-14	-52	0	15	17Networks_LH_VisPeri_ExStrInf_4	7Networks_LH_Vis_12
13	7Networks_LH_Vis_13	-46	-74	6	6	17Networks_LH_VisCent_ExStr_6	7Networks_LH_Vis_13
14	7Networks_LH_Vis_14	-6	-94	-4	7	17Networks_LH_VisCent_Striate_1	7Networks_LH_Vis_14
15	7Networks_LH_Vis_15	-26	-94	6	8	17Networks_LH_VisCent_ExStr_7	7Networks_LH_Vis_15
16	7Networks_LH_Vis_16	-6	-78	8	16	17Networks_LH_VisPeri_StriCal_1	7Networks_LH_Vis_16
17	7Networks_LH_Vis_17	-18	-64	6	17	17Networks_LH_VisPeri_ExStrSup_1	7Networks_LH_Vis_17
18	7Networks_LH_Vis_18	-40	-84	14	9	17Networks_LH_VisCent_ExStr_8	7Networks_LH_Vis_18
19	7Networks_LH_Vis_19	-12	-96	18	10	17Networks_LH_VisCent_ExStr_9	7Networks_LH_Vis_19
20	7Networks_LH_Vis_20	-2	-86	24	18	17Networks_LH_VisPeri_ExStrSup_2	7Networks_LH_Vis_20
21	7Networks_LH_Vis_21	-10	-74	22	19	17Networks_LH_VisPeri_ExStrSup_3	7Networks_LH_Vis_21
22	7Networks_LH_Vis_22	-28	-84	24	11	17Networks_LH_VisCent_ExStr_10	7Networks_LH_Vis_22
23	7Networks_LH_Vis_23	-14	-86	36	20	17Networks_LH_VisPeri_ExStrSup_4	7Networks_LH_Vis_23
24	7Networks_LH_Vis_24	-22	-78	40	52	17Networks_LH_DorsAttnA_SPL_1	7Networks_LH_Vis_24
25	7Networks_LH_SomMot_1	-48	-12	0	36	17Networks_LH_SomMotB_Aud_1	7Networks_LH_SomMot_1
26	7Networks_LH_SomMot_2	-54	-22	8	37	17Networks_LH_SomMotB_Aud_2	7Networks_LH_SomMot_2
27	7Networks_LH_SomMot_3	-38	-12	14	38	17Networks_LH_SomMotB_S2_1	7Networks_LH_SomMot_3
28	7Networks_LH_SomMot_4	-34	-26	16	39	17Networks_LH_SomMotB_S2_2	7Networks_LH_SomMot_4
29	7Networks_LH_SomMot_5	-50	-12	14	40	17Networks_LH_SomMotB_S2_3	7Networks_LH_SomMot_5
30	7Networks_LH_SomMot_6	-56	-38	16	41	17Networks_LH_SomMotB_Aud_3	7Networks_LH_SomMot_6
31	7Networks_LH_SomMot_7	-44	-30	18	42	17Networks_LH_SomMotB_S2_4	7Networks_LH_SomMot_7
