index	label	network_label	label_7network	index_17network	label_17network	network_label_17network
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	146	17Networks_LH_LimbicA_TempPole_8	LimbicA
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	238	17Networks_LH_DefaultC_PHC_3	DefaultC
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	3	17Networks_LH_VisCent_ExStr_1	VisCent
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	4	17Networks_LH_VisCent_ExStr_2	VisCent
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	5	17Networks_LH_VisCent_ExStr_3	VisCent
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	6	17Networks_LH_VisCent_ExStr_4	VisCent
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	21	17Networks_LH_VisPeri_ExStrInf_1	VisPeri
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	77	17Networks_LH_DorsAttnA_TempOcc_3	DorsAttnA
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	7	17Networks_LH_VisCent_ExStr_5	VisCent
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	240	17Networks_LH_DefaultC_PHC_5	DefaultC
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	22	17Networks_LH_VisPeri_ExStrInf_2	VisPeri
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	23	17Networks_LH_VisPeri_ExStrInf_3	VisPeri
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	8	17Networks_LH_VisCent_ExStr_6	VisCent
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	9	17Networks_LH_VisCent_ExStr_7	VisCent
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	1	17Networks_LH_VisCent_Striate_1	VisCent
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	2	17Networks_LH_VisCent_Striate_2	VisCent
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	24	17Networks_LH_VisPeri_ExStrInf_4	VisPeri
18	LH_Vis_18	Vis	7Networks_LH_Vis_18	16	17Networks_LH_VisPeri_StriCal_1	VisPeri
19	LH_Vis_19	Vis	7Networks_LH_Vis_19	10	17Networks_LH_VisCent_ExStr_8	VisCent
20	LH_Vis_20	Vis	7Networks_LH_Vis_20	17	17Networks_LH_VisPeri_StriCal_2	VisPeri
21	LH_Vis_21	Vis	7Networks_LH_Vis_21	18	17Networks_LH_VisPeri_StriCal_3	VisPeri
22	LH_Vis_22	Vis	7Networks_LH_Vis_22	11	17Networks_LH_VisCent_ExStr_9	VisCent
23	LH_Vis_23	Vis	7Networks_LH_Vis_23	232	17Networks_LH_DefaultC_Rsp_1	DefaultC
24	LH_Vis_24	Vis	7Networks_LH_Vis_24	25	17Networks_LH_VisPeri_ExStrInf_5	VisPeri
25	LH_Vis_25	Vis	7Networks_LH_Vis_25	12	17Networks_LH_VisCent_ExStr_10	VisCent
26	LH_Vis_26	Vis	7Networks_LH_Vis_26	13	17Networks_LH_VisCent_ExStr_11	VisCent
27	LH_Vis_27	Vis	7Networks_LH_Vis_27	19	17Networks_LH_VisPeri_StriCal_4	VisPeri
28	LH_Vis_28	Vis	7Networks_LH_Vis_28	20	17Networks_LH_VisPeri_StriCal_5	VisPeri
29	LH_Vis_29	Vis	7Networks_LH_Vis_29	79	17Networks_LH_DorsAttnA_ParOcc_2	DorsAttnA
30	LH_Vis_30	Vis	7Networks_LH_Vis_30	26	17Networks_LH_VisPeri_ExStrSup_1	VisPeri
31	LH_Vis_31	Vis	7Networks_LH_Vis_31	14	17Networks_LH_VisCent_ExStr_12	VisCent
32	LH_Vis_32	Vis	7Networks_LH_Vis_32	235	17Networks_LH_DefaultC_Rsp_4	DefaultC
33	LH_Vis_33	Vis	7Networks_LH_Vis_33	27	17Networks_LH_VisPeri_ExStrSup_2	VisPeri
34	LH_Vis_34	Vis	7Networks_LH_Vis_34	28	17Networks_LH_VisPeri_ExStrSup_3	VisPeri
35	LH_Vis_35	Vis	7Networks_LH_Vis_35	15	17Networks_LH_VisCent_ExStr_13	VisCent
36	LH_Vis_36	Vis	7Networks_LH_Vis_36	80	17Networks_LH_DorsAttnA_ParOcc_3	DorsAttnA
37	LH_Vis_37	Vis	7Networks_LH_Vis_37	29	17Networks_LH_VisPeri_ExStrSup_4	VisPeri
38	LH_Vis_38	Vis	7Networks_LH_Vis_38	30	17Networks_LH_VisPeri_ExStrSup_5	VisPeri
39	LH_Vis_39	Vis	7Networks_LH_Vis_39	82	17Networks_LH_DorsAttnA_SPL_2	DorsAttnA
40	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	68	17Networks_LH_SomMotB_Aud_1	SomMotB
41	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	69	17Networks_LH_SomMotB_Aud_2	SomMotB
42	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	70	17Networks_LH_SomMotB_Aud_3	SomMotB
43	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	71	17Networks_LH_SomMotB_Aud_4	SomMotB
44	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	67	17Networks_LH_SomMotB_Ins_1	SomMotB
45	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	72	17Networks_LH_SomMotB_Aud_5	SomMotB
46	LH_SomMot_7	SomMot	7Networks_LH_SomMot_7	61	17Networks_LH_SomMotB_S2_1	SomMotB
47	LH_SomMot_8	SomMot	7Networks_LH_SomMot_8	248	17Networks_LH_TempPar_8	TempPar
48	LH_SomMot_9	SomMot	7Networks_LH_SomMot_9	62	17Networks_LH_SomMotB_S2_2	SomMotB
49	LH_SomMot_10	SomMot	7Networks_LH_SomMot_10	73	17Networks_LH_SomMotB_Aud_6	SomMotB
50	LH_SomMot_11	SomMot	7Networks_LH_SomMot_11	63	17Networks_LH_SomMotB_S2_3	SomMotB
51	LH_SomMot_12	SomMot	7Networks_LH_SomMot_12	74	17Networks_LH_SomMotB_Aud_7	SomMotB
52	LH_SomMot_13	SomMot	7Networks_LH_SomMot_13	64	17Networks_LH_SomMotB_S2_4	SomMotB
53	LH_SomMot_14	SomMot	7Networks_LH_SomMot_14	65	17Networks_LH_SomMotB_S2_5	SomMotB
54	LH_SomMot_15	SomMot	7Networks_LH_SomMot_15	66	17Networks_LH_SomMotB_S2_6	SomMotB
55	LH_SomMot_16	SomMot	7Networks_LH_SomMot_16	54	17Networks_LH_SomMotB_Cent_1	SomMotB
56	LH_SomMot_17	SomMot	7Networks_LH_SomMot_17	55	17Networks_LH_SomMotB_Cent_2	SomMotB
57	LH_SomMot_18	SomMot	7Networks_LH_SomMot_18	56	17Networks_LH_SomMotB_Cent_3	SomMotB
58	LH_SomMot_19	SomMot	7Networks_LH_SomMot_19	57	17Networks_LH_SomMotB_Cent_4	SomMotB
59	LH_SomMot_20	SomMot	7Networks_LH_SomMot_20	91	17Networks_LH_DorsAttnB_PostC_2	DorsAttnB
60	LH_SomMot_21	SomMot	7Networks_LH_SomMot_21	58	17Networks_LH_SomMotB_Cent_5	SomMotB
61	LH_SomMot_22	SomMot	7Networks_LH_SomMot_22	59	17Networks_LH_SomMotB_Cent_6	SomMotB
62	LH_SomMot_23	SomMot	7Networks_LH_SomMot_23	31	17Networks_LH_SomMotA_1	SomMotA
63	LH_SomMot_24	SomMot	7Networks_LH_SomMot_24	60	17Networks_LH_SomMotB_Cent_7	SomMotB
64	LH_SomMot_25	SomMot	7Networks_LH_SomMot_25	32	17Networks_LH_SomMotA_2	SomMotA
65	LH_SomMot_26	SomMot	7Networks_LH_SomMot_26	33	17Networks_LH_SomMotA_3	SomMotA
66	LH_SomMot_27	SomMot	7Networks_LH_SomMot_27	34	17Networks_LH_SomMotA_4	SomMotA
67	LH_SomMot_28	SomMot	7Networks_LH_SomMot_28	35	17Networks_LH_SomMotA_5	SomMotA
68	LH_SomMot_29	SomMot	7Networks_LH_SomMot_29	36	17Networks_LH_SomMotA_6	SomMotA
69	LH_SomMot_30	SomMot	7Networks_LH_SomMot_30	37	17Networks_LH_SomMotA_7	SomMotA
70	LH_SomMot_31	SomMot	7Networks_LH_SomMot_31	38	17Networks_LH_SomMotA_8	SomMotA
71	LH_SomMot_32	SomMot	7Networks_LH_SomMot_32	39	17Networks_LH_SomMotA_9	SomMotA
72	LH_SomMot_33	SomMot	7Networks_LH_SomMot_33	40	17Networks_LH_SomMotA_10	SomMotA
73	LH_SomMot_34	SomMot	7Networks_LH_SomMot_34	41	17Networks_LH_SomMotA_11	SomMotA
74	LH_SomMot_35	SomMot	7Networks_LH_SomMot_35	42	17Networks_LH_SomMotA_12	SomMotA
75	LH_SomMot_36	SomMot	7Networks_LH_SomMot_36	43	17Networks_LH_SomMotA_13	SomMotA
76	LH_SomMot_37	SomMot	7Networks_LH_SomMot_37	44	17Networks_LH_SomMotA_14	SomMotA
77	LH_SomMot_38	SomMot	7Networks_LH_SomMot_38	45	17Networks_LH_SomMotA_15	SomMotA
78	LH_SomMot_39	SomMot	7Networks_LH_SomMot_39	46	17Networks_LH_SomMotA_16	SomMotA
79	LH_SomMot_40	SomMot	7Networks_LH_SomMot_40	97	17Networks_LH_DorsAttnB_PostC_8	DorsAttnB
80	LH_SomMot_41	SomMot	7Networks_LH_SomMot_41	47	17Networks_LH_SomMotA_17	SomMotA
81	LH_SomMot_42	SomMot	7Networks_LH_SomMot_42	48	17Networks_LH_SomMotA_18	SomMotA
82	LH_SomMot_43	SomMot	7Networks_LH_SomMot_43	49	17Networks_LH_SomMotA_19	SomMotA
83	LH_SomMot_44	SomMot	7Networks_LH_SomMot_44	50	17Networks_LH_SomMotA_20	SomMotA
84	LH_SomMot_45	SomMot	7Networks_LH_SomMot_45	51	17Networks_LH_SomMotA_21	SomMotA
85	LH_SomMot_46	SomMot	7Networks_LH_SomMot_46	52	17Networks_LH_SomMotA_22	SomMotA
86	LH_SomMot_47	SomMot	7Networks_LH_SomMot_47	53	17Networks_LH_SomMotA_23	SomMotA
87	LH_DorsAttn_Post_1	DorsAttn	7Networks_LH_DorsAttn_Post_1	75	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA
88	LH_DorsAttn_Post_2	DorsAttn	7Networks_LH_DorsAttn_Post_2	76	17Networks_LH_DorsAttnA_TempOcc_2	DorsAttnA
89	LH_DorsAttn_Post_3	DorsAttn	7Networks_LH_DorsAttn_Post_3	89	17Networks_LH_DorsAttnB_TempOcc_1	DorsAttnB
90	LH_DorsAttn_Post_4	DorsAttn	7Networks_LH_DorsAttn_Post_4	78	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA
91	LH_DorsAttn_Post_5	DorsAttn	7Networks_LH_DorsAttn_Post_5	81	17Networks_LH_DorsAttnA_SPL_1	DorsAttnA
92	LH_DorsAttn_Post_6	DorsAttn	7Networks_LH_DorsAttn_Post_6	151	17Networks_LH_ContA_IPS_2	ContA
93	LH_DorsAttn_Post_7	DorsAttn	7Networks_LH_DorsAttn_Post_7	92	17Networks_LH_DorsAttnB_PostC_3	DorsAttnB
94	LH_DorsAttn_Post_8	DorsAttn	7Networks_LH_DorsAttn_Post_8	93	17Networks_LH_DorsAttnB_PostC_4	DorsAttnB
95	LH_DorsAttn_Post_9	DorsAttn	7Networks_LH_DorsAttn_Post_9	156	17Networks_LH_ContA_IPS_7	ContA
96	LH_DorsAttn_Post_10	DorsAttn	7Networks_LH_DorsAttn_Post_10	83	17Networks_LH_DorsAttnA_SPL_3	DorsAttnA
97	LH_DorsAttn_Post_11	DorsAttn	7Networks_LH_DorsAttn_Post_11	157	17Networks_LH_ContA_IPS_8	ContA
98	LH_DorsAttn_Post_12	DorsAttn	7Networks_LH_DorsAttn_Post_12	84	17Networks_LH_DorsAttnA_SPL_4	DorsAttnA
99	LH_DorsAttn_Post_13	DorsAttn	7Networks_LH_DorsAttn_Post_13	85	17Networks_LH_DorsAttnA_SPL_5	DorsAttnA
100	LH_DorsAttn_Post_14	DorsAttn	7Networks_LH_DorsAttn_Post_14	94	17Networks_LH_DorsAttnB_PostC_5	DorsAttnB
101	LH_DorsAttn_Post_15	DorsAttn	7Networks_LH_DorsAttn_Post_15	86	17Networks_LH_DorsAttnA_SPL_6	DorsAttnA
102	LH_DorsAttn_Post_16	DorsAttn	7Networks_LH_DorsAttn_Post_16	87	17Networks_LH_DorsAttnA_SPL_7	DorsAttnA
103	LH_DorsAttn_Post_17	DorsAttn	7Networks_LH_DorsAttn_Post_17	88	17Networks_LH_DorsAttnA_SPL_8	DorsAttnA
104	LH_DorsAttn_Post_18	DorsAttn	7Networks_LH_DorsAttn_Post_18	95	17Networks_LH_DorsAttnB_PostC_6	DorsAttnB
105	LH_DorsAttn_Post_19	DorsAttn	7Networks_LH_DorsAttn_Post_19	96	17Networks_LH_DorsAttnB_PostC_7	DorsAttnB
106	LH_DorsAttn_FEF_1	DorsAttn	7Networks_LH_DorsAttn_FEF_1	98	17Networks_LH_DorsAttnB_FEF_1	DorsAttnB
107	LH_DorsAttn_FEF_2	DorsAttn	7Networks_LH_DorsAttn_FEF_2	159	17Networks_LH_ContA_PFCd_2	ContA
108	LH_DorsAttn_FEF_3	DorsAttn	7Networks_LH_DorsAttn_FEF_3	99	17Networks_LH_DorsAttnB_FEF_2	DorsAttnB
109	LH_DorsAttn_FEF_4	DorsAttn	7Networks_LH_DorsAttn_FEF_4	100	17Networks_LH_DorsAttnB_FEF_3	DorsAttnB
110	LH_DorsAttn_PrCv_1	DorsAttn	7Networks_LH_DorsAttn_PrCv_1	162	17Networks_LH_ContA_PFCl_3	ContA
