index	label	network_label	label_7network	index_17network	label_17network	network_label_17network
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	141	17Networks_LH_DorsAttnA_TempOcc_2	DorsAttnA
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	435	17Networks_LH_DefaultC_PHC_3	DefaultC
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	4	17Networks_LH_VisCent_ExStr_1	VisCent
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	436	17Networks_LH_DefaultC_PHC_4	DefaultC
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	5	17Networks_LH_VisCent_ExStr_2	VisCent
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	6	17Networks_LH_VisCent_ExStr_3	VisCent
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	7	17Networks_LH_VisCent_ExStr_4	VisCent
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	8	17Networks_LH_VisCent_ExStr_5	VisCent
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	9	17Networks_LH_VisCent_ExStr_6	VisCent
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	41	17Networks_LH_VisPeri_ExStrInf_1	VisPeri
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	10	17Networks_LH_VisCent_ExStr_7	VisCent
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	11	17Networks_LH_VisCent_ExStr_8	VisCent
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	12	17Networks_LH_VisCent_ExStr_9	VisCent
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	13	17Networks_LH_VisCent_ExStr_10	VisCent
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	42	17Networks_LH_VisPeri_ExStrInf_2	VisPeri
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	14	17Networks_LH_VisCent_ExStr_11	VisCent
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	43	17Networks_LH_VisPeri_ExStrInf_3	VisPeri
18	LH_Vis_18	Vis	7Networks_LH_Vis_18	15	17Networks_LH_VisCent_ExStr_12	VisCent
19	LH_Vis_19	Vis	7Networks_LH_Vis_19	438	17Networks_LH_DefaultC_PHC_6	DefaultC
20	LH_Vis_20	Vis	7Networks_LH_Vis_20	16	17Networks_LH_VisCent_ExStr_13	VisCent
21	LH_Vis_21	Vis	7Networks_LH_Vis_21	44	17Networks_LH_VisPeri_ExStrInf_4	VisPeri
22	LH_Vis_22	Vis	7Networks_LH_Vis_22	17	17Networks_LH_VisCent_ExStr_14	VisCent
23	LH_Vis_23	Vis	7Networks_LH_Vis_23	45	17Networks_LH_VisPeri_ExStrInf_5	VisPeri
24	LH_Vis_24	Vis	7Networks_LH_Vis_24	46	17Networks_LH_VisPeri_ExStrInf_6	VisPeri
25	LH_Vis_25	Vis	7Networks_LH_Vis_25	18	17Networks_LH_VisCent_ExStr_15	VisCent
26	LH_Vis_26	Vis	7Networks_LH_Vis_26	19	17Networks_LH_VisCent_ExStr_16	VisCent
27	LH_Vis_27	Vis	7Networks_LH_Vis_27	1	17Networks_LH_VisCent_Striate_1	VisCent
28	LH_Vis_28	Vis	7Networks_LH_Vis_28	47	17Networks_LH_VisPeri_ExStrInf_7	VisPeri
29	LH_Vis_29	Vis	7Networks_LH_Vis_29	20	17Networks_LH_VisCent_ExStr_17	VisCent
30	LH_Vis_30	Vis	7Networks_LH_Vis_30	33	17Networks_LH_VisPeri_StriCal_1	VisPeri
31	LH_Vis_31	Vis	7Networks_LH_Vis_31	21	17Networks_LH_VisCent_ExStr_18	VisCent
32	LH_Vis_32	Vis	7Networks_LH_Vis_32	22	17Networks_LH_VisCent_ExStr_19	VisCent
33	LH_Vis_33	Vis	7Networks_LH_Vis_33	34	17Networks_LH_VisPeri_StriCal_2	VisPeri
34	LH_Vis_34	Vis	7Networks_LH_Vis_34	48	17Networks_LH_VisPeri_ExStrInf_8	VisPeri
35	LH_Vis_35	Vis	7Networks_LH_Vis_35	35	17Networks_LH_VisPeri_StriCal_3	VisPeri
36	LH_Vis_36	Vis	7Networks_LH_Vis_36	49	17Networks_LH_VisPeri_ExStrInf_9	VisPeri
37	LH_Vis_37	Vis	7Networks_LH_Vis_37	23	17Networks_LH_VisCent_ExStr_20	VisCent
38	LH_Vis_38	Vis	7Networks_LH_Vis_38	2	17Networks_LH_VisCent_Striate_2	VisCent
39	LH_Vis_39	Vis	7Networks_LH_Vis_39	36	17Networks_LH_VisPeri_StriCal_4	VisPeri
40	LH_Vis_40	Vis	7Networks_LH_Vis_40	3	17Networks_LH_VisCent_Striate_3	VisCent
41	LH_Vis_41	Vis	7Networks_LH_Vis_41	24	17Networks_LH_VisCent_ExStr_21	VisCent
42	LH_Vis_42	Vis	7Networks_LH_Vis_42	37	17Networks_LH_VisPeri_StriCal_5	VisPeri
43	LH_Vis_43	Vis	7Networks_LH_Vis_43	429	17Networks_LH_DefaultC_Rsp_1	DefaultC
44	LH_Vis_44	Vis	7Networks_LH_Vis_44	25	17Networks_LH_VisCent_ExStr_22	VisCent
45	LH_Vis_45	Vis	7Networks_LH_Vis_45	50	17Networks_LH_VisPeri_ExStrSup_1	VisPeri
46	LH_Vis_46	Vis	7Networks_LH_Vis_46	147	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA
47	LH_Vis_47	Vis	7Networks_LH_Vis_47	38	17Networks_LH_VisPeri_StriCal_6	VisPeri
48	LH_Vis_48	Vis	7Networks_LH_Vis_48	39	17Networks_LH_VisPeri_StriCal_7	VisPeri
