index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
0	LH_Vis_1	Vis	7Networks_LH_Vis_1	146.0	17Networks_LH_LimbicA_TempPole_8	LimbicA	Schaefer2018v0143	n/a
1	LH_Vis_2	Vis	7Networks_LH_Vis_2	238.0	17Networks_LH_DefaultC_PHC_3	DefaultC	Schaefer2018v0143	n/a
2	LH_Vis_3	Vis	7Networks_LH_Vis_3	3.0	17Networks_LH_VisCent_ExStr_1	VisCent	Schaefer2018v0143	n/a
3	LH_Vis_4	Vis	7Networks_LH_Vis_4	4.0	17Networks_LH_VisCent_ExStr_2	VisCent	Schaefer2018v0143	n/a
4	LH_Vis_5	Vis	7Networks_LH_Vis_5	5.0	17Networks_LH_VisCent_ExStr_3	VisCent	Schaefer2018v0143	n/a
5	LH_Vis_6	Vis	7Networks_LH_Vis_6	6.0	17Networks_LH_VisCent_ExStr_4	VisCent	Schaefer2018v0143	n/a
6	LH_Vis_7	Vis	7Networks_LH_Vis_7	21.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	Schaefer2018v0143	n/a
7	LH_Vis_8	Vis	7Networks_LH_Vis_8	77.0	17Networks_LH_DorsAttnA_TempOcc_3	DorsAttnA	Schaefer2018v0143	n/a
8	LH_Vis_9	Vis	7Networks_LH_Vis_9	7.0	17Networks_LH_VisCent_ExStr_5	VisCent	Schaefer2018v0143	n/a
9	LH_Vis_10	Vis	7Networks_LH_Vis_10	240.0	17Networks_LH_DefaultC_PHC_5	DefaultC	Schaefer2018v0143	n/a
10	LH_Vis_11	Vis	7Networks_LH_Vis_11	22.0	17Networks_LH_VisPeri_ExStrInf_2	VisPeri	Schaefer2018v0143	n/a
11	LH_Vis_12	Vis	7Networks_LH_Vis_12	23.0	17Networks_LH_VisPeri_ExStrInf_3	VisPeri	Schaefer2018v0143	n/a
12	LH_Vis_13	Vis	7Networks_LH_Vis_13	8.0	17Networks_LH_VisCent_ExStr_6	VisCent	Schaefer2018v0143	n/a
13	LH_Vis_14	Vis	7Networks_LH_Vis_14	9.0	17Networks_LH_VisCent_ExStr_7	VisCent	Schaefer2018v0143	n/a
14	LH_Vis_15	Vis	7Networks_LH_Vis_15	1.0	17Networks_LH_VisCent_Striate_1	VisCent	Schaefer2018v0143	n/a
15	LH_Vis_16	Vis	7Networks_LH_Vis_16	2.0	17Networks_LH_VisCent_Striate_2	VisCent	Schaefer2018v0143	n/a
16	LH_Vis_17	Vis	7Networks_LH_Vis_17	24.0	17Networks_LH_VisPeri_ExStrInf_4	VisPeri	Schaefer2018v0143	n/a
17	LH_Vis_18	Vis	7Networks_LH_Vis_18	16.0	17Networks_LH_VisPeri_StriCal_1	VisPeri	Schaefer2018v0143	n/a
18	LH_Vis_19	Vis	7Networks_LH_Vis_19	10.0	17Networks_LH_VisCent_ExStr_8	VisCent	Schaefer2018v0143	n/a
19	LH_Vis_20	Vis	7Networks_LH_Vis_20	17.0	17Networks_LH_VisPeri_StriCal_2	VisPeri	Schaefer2018v0143	n/a
20	LH_Vis_21	Vis	7Networks_LH_Vis_21	18.0	17Networks_LH_VisPeri_StriCal_3	VisPeri	Schaefer2018v0143	n/a
21	LH_Vis_22	Vis	7Networks_LH_Vis_22	11.0	17Networks_LH_VisCent_ExStr_9	VisCent	Schaefer2018v0143	n/a
22	LH_Vis_23	Vis	7Networks_LH_Vis_23	232.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	Schaefer2018v0143	n/a
23	LH_Vis_24	Vis	7Networks_LH_Vis_24	25.0	17Networks_LH_VisPeri_ExStrInf_5	VisPeri	Schaefer2018v0143	n/a
24	LH_Vis_25	Vis	7Networks_LH_Vis_25	12.0	17Networks_LH_VisCent_ExStr_10	VisCent	Schaefer2018v0143	n/a
25	LH_Vis_26	Vis	7Networks_LH_Vis_26	13.0	17Networks_LH_VisCent_ExStr_11	VisCent	Schaefer2018v0143	n/a
26	LH_Vis_27	Vis	7Networks_LH_Vis_27	19.0	17Networks_LH_VisPeri_StriCal_4	VisPeri	Schaefer2018v0143	n/a
27	LH_Vis_28	Vis	7Networks_LH_Vis_28	20.0	17Networks_LH_VisPeri_StriCal_5	VisPeri	Schaefer2018v0143	n/a
28	LH_Vis_29	Vis	7Networks_LH_Vis_29	79.0	17Networks_LH_DorsAttnA_ParOcc_2	DorsAttnA	Schaefer2018v0143	n/a
29	LH_Vis_30	Vis	7Networks_LH_Vis_30	26.0	17Networks_LH_VisPeri_ExStrSup_1	VisPeri	Schaefer2018v0143	n/a
30	LH_Vis_31	Vis	7Networks_LH_Vis_31	14.0	17Networks_LH_VisCent_ExStr_12	VisCent	Schaefer2018v0143	n/a
31	LH_Vis_32	Vis	7Networks_LH_Vis_32	235.0	17Networks_LH_DefaultC_Rsp_4	DefaultC	Schaefer2018v0143	n/a
32	LH_Vis_33	Vis	7Networks_LH_Vis_33	27.0	17Networks_LH_VisPeri_ExStrSup_2	VisPeri	Schaefer2018v0143	n/a
33	LH_Vis_34	Vis	7Networks_LH_Vis_34	28.0	17Networks_LH_VisPeri_ExStrSup_3	VisPeri	Schaefer2018v0143	n/a
34	LH_Vis_35	Vis	7Networks_LH_Vis_35	15.0	17Networks_LH_VisCent_ExStr_13	VisCent	Schaefer2018v0143	n/a
35	LH_Vis_36	Vis	7Networks_LH_Vis_36	80.0	17Networks_LH_DorsAttnA_ParOcc_3	DorsAttnA	Schaefer2018v0143	n/a
36	LH_Vis_37	Vis	7Networks_LH_Vis_37	29.0	17Networks_LH_VisPeri_ExStrSup_4	VisPeri	Schaefer2018v0143	n/a
37	LH_Vis_38	Vis	7Networks_LH_Vis_38	30.0	17Networks_LH_VisPeri_ExStrSup_5	VisPeri	Schaefer2018v0143	n/a
38	LH_Vis_39	Vis	7Networks_LH_Vis_39	82.0	17Networks_LH_DorsAttnA_SPL_2	DorsAttnA	Schaefer2018v0143	n/a
39	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	68.0	17Networks_LH_SomMotB_Aud_1	SomMotB	Schaefer2018v0143	n/a
40	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	69.0	17Networks_LH_SomMotB_Aud_2	SomMotB	Schaefer2018v0143	n/a
41	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	70.0	17Networks_LH_SomMotB_Aud_3	SomMotB	Schaefer2018v0143	n/a
42	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	71.0	17Networks_LH_SomMotB_Aud_4	SomMotB	Schaefer2018v0143	n/a
43	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	67.0	17Networks_LH_SomMotB_Ins_1	SomMotB	Schaefer2018v0143	n/a
44	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	72.0	17Networks_LH_SomMotB_Aud_5	SomMotB	Schaefer2018v0143	n/a
45	LH_SomMot_7	SomMot	7Networks_LH_SomMot_7	61.0	17Networks_LH_SomMotB_S2_1	SomMotB	Schaefer2018v0143	n/a
46	LH_SomMot_8	SomMot	7Networks_LH_SomMot_8	248.0	17Networks_LH_TempPar_8	TempPar	Schaefer2018v0143	n/a
47	LH_SomMot_9	SomMot	7Networks_LH_SomMot_9	62.0	17Networks_LH_SomMotB_S2_2	SomMotB	Schaefer2018v0143	n/a
48	LH_SomMot_10	SomMot	7Networks_LH_SomMot_10	73.0	17Networks_LH_SomMotB_Aud_6	SomMotB	Schaefer2018v0143	n/a
49	LH_SomMot_11	SomMot	7Networks_LH_SomMot_11	63.0	17Networks_LH_SomMotB_S2_3	SomMotB	Schaefer2018v0143	n/a
50	LH_SomMot_12	SomMot	7Networks_LH_SomMot_12	74.0	17Networks_LH_SomMotB_Aud_7	SomMotB	Schaefer2018v0143	n/a
51	LH_SomMot_13	SomMot	7Networks_LH_SomMot_13	64.0	17Networks_LH_SomMotB_S2_4	SomMotB	Schaefer2018v0143	n/a
52	LH_SomMot_14	SomMot	7Networks_LH_SomMot_14	65.0	17Networks_LH_SomMotB_S2_5	SomMotB	Schaefer2018v0143	n/a
53	LH_SomMot_15	SomMot	7Networks_LH_SomMot_15	66.0	17Networks_LH_SomMotB_S2_6	SomMotB	Schaefer2018v0143	n/a
54	LH_SomMot_16	SomMot	7Networks_LH_SomMot_16	54.0	17Networks_LH_SomMotB_Cent_1	SomMotB	Schaefer2018v0143	n/a
55	LH_SomMot_17	SomMot	7Networks_LH_SomMot_17	55.0	17Networks_LH_SomMotB_Cent_2	SomMotB	Schaefer2018v0143	n/a
56	LH_SomMot_18	SomMot	7Networks_LH_SomMot_18	56.0	17Networks_LH_SomMotB_Cent_3	SomMotB	Schaefer2018v0143	n/a
57	LH_SomMot_19	SomMot	7Networks_LH_SomMot_19	57.0	17Networks_LH_SomMotB_Cent_4	SomMotB	Schaefer2018v0143	n/a
58	LH_SomMot_20	SomMot	7Networks_LH_SomMot_20	91.0	17Networks_LH_DorsAttnB_PostC_2	DorsAttnB	Schaefer2018v0143	n/a
59	LH_SomMot_21	SomMot	7Networks_LH_SomMot_21	58.0	17Networks_LH_SomMotB_Cent_5	SomMotB	Schaefer2018v0143	n/a
60	LH_SomMot_22	SomMot	7Networks_LH_SomMot_22	59.0	17Networks_LH_SomMotB_Cent_6	SomMotB	Schaefer2018v0143	n/a
61	LH_SomMot_23	SomMot	7Networks_LH_SomMot_23	31.0	17Networks_LH_SomMotA_1	SomMotA	Schaefer2018v0143	n/a
62	LH_SomMot_24	SomMot	7Networks_LH_SomMot_24	60.0	17Networks_LH_SomMotB_Cent_7	SomMotB	Schaefer2018v0143	n/a
63	LH_SomMot_25	SomMot	7Networks_LH_SomMot_25	32.0	17Networks_LH_SomMotA_2	SomMotA	Schaefer2018v0143	n/a
64	LH_SomMot_26	SomMot	7Networks_LH_SomMot_26	33.0	17Networks_LH_SomMotA_3	SomMotA	Schaefer2018v0143	n/a
65	LH_SomMot_27	SomMot	7Networks_LH_SomMot_27	34.0	17Networks_LH_SomMotA_4	SomMotA	Schaefer2018v0143	n/a
66	LH_SomMot_28	SomMot	7Networks_LH_SomMot_28	35.0	17Networks_LH_SomMotA_5	SomMotA	Schaefer2018v0143	n/a
67	LH_SomMot_29	SomMot	7Networks_LH_SomMot_29	36.0	17Networks_LH_SomMotA_6	SomMotA	Schaefer2018v0143	n/a
68	LH_SomMot_30	SomMot	7Networks_LH_SomMot_30	37.0	17Networks_LH_SomMotA_7	SomMotA	Schaefer2018v0143	n/a
69	LH_SomMot_31	SomMot	7Networks_LH_SomMot_31	38.0	17Networks_LH_SomMotA_8	SomMotA	Schaefer2018v0143	n/a
70	LH_SomMot_32	SomMot	7Networks_LH_SomMot_32	39.0	17Networks_LH_SomMotA_9	SomMotA	Schaefer2018v0143	n/a
71	LH_SomMot_33	SomMot	7Networks_LH_SomMot_33	40.0	17Networks_LH_SomMotA_10	SomMotA	Schaefer2018v0143	n/a
72	LH_SomMot_34	SomMot	7Networks_LH_SomMot_34	41.0	17Networks_LH_SomMotA_11	SomMotA	Schaefer2018v0143	n/a
73	LH_SomMot_35	SomMot	7Networks_LH_SomMot_35	42.0	17Networks_LH_SomMotA_12	SomMotA	Schaefer2018v0143	n/a
74	LH_SomMot_36	SomMot	7Networks_LH_SomMot_36	43.0	17Networks_LH_SomMotA_13	SomMotA	Schaefer2018v0143	n/a
75	LH_SomMot_37	SomMot	7Networks_LH_SomMot_37	44.0	17Networks_LH_SomMotA_14	SomMotA	Schaefer2018v0143	n/a
76	LH_SomMot_38	SomMot	7Networks_LH_SomMot_38	45.0	17Networks_LH_SomMotA_15	SomMotA	Schaefer2018v0143	n/a
77	LH_SomMot_39	SomMot	7Networks_LH_SomMot_39	46.0	17Networks_LH_SomMotA_16	SomMotA	Schaefer2018v0143	n/a
78	LH_SomMot_40	SomMot	7Networks_LH_SomMot_40	97.0	17Networks_LH_DorsAttnB_PostC_8	DorsAttnB	Schaefer2018v0143	n/a
