index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	141.0	17Networks_LH_DorsAttnA_TempOcc_2	DorsAttnA	4S952	n/a
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	435.0	17Networks_LH_DefaultC_PHC_3	DefaultC	4S952	n/a
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	4.0	17Networks_LH_VisCent_ExStr_1	VisCent	4S952	n/a
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	436.0	17Networks_LH_DefaultC_PHC_4	DefaultC	4S952	n/a
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	5.0	17Networks_LH_VisCent_ExStr_2	VisCent	4S952	n/a
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	6.0	17Networks_LH_VisCent_ExStr_3	VisCent	4S952	n/a
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	7.0	17Networks_LH_VisCent_ExStr_4	VisCent	4S952	n/a
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	8.0	17Networks_LH_VisCent_ExStr_5	VisCent	4S952	n/a
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	9.0	17Networks_LH_VisCent_ExStr_6	VisCent	4S952	n/a
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	41.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	4S952	n/a
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	10.0	17Networks_LH_VisCent_ExStr_7	VisCent	4S952	n/a
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	11.0	17Networks_LH_VisCent_ExStr_8	VisCent	4S952	n/a
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	12.0	17Networks_LH_VisCent_ExStr_9	VisCent	4S952	n/a
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	13.0	17Networks_LH_VisCent_ExStr_10	VisCent	4S952	n/a
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	42.0	17Networks_LH_VisPeri_ExStrInf_2	VisPeri	4S952	n/a
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	14.0	17Networks_LH_VisCent_ExStr_11	VisCent	4S952	n/a
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	43.0	17Networks_LH_VisPeri_ExStrInf_3	VisPeri	4S952	n/a
18	LH_Vis_18	Vis	7Networks_LH_Vis_18	15.0	17Networks_LH_VisCent_ExStr_12	VisCent	4S952	n/a
19	LH_Vis_19	Vis	7Networks_LH_Vis_19	438.0	17Networks_LH_DefaultC_PHC_6	DefaultC	4S952	n/a
20	LH_Vis_20	Vis	7Networks_LH_Vis_20	16.0	17Networks_LH_VisCent_ExStr_13	VisCent	4S952	n/a
21	LH_Vis_21	Vis	7Networks_LH_Vis_21	44.0	17Networks_LH_VisPeri_ExStrInf_4	VisPeri	4S952	n/a
22	LH_Vis_22	Vis	7Networks_LH_Vis_22	17.0	17Networks_LH_VisCent_ExStr_14	VisCent	4S952	n/a
23	LH_Vis_23	Vis	7Networks_LH_Vis_23	45.0	17Networks_LH_VisPeri_ExStrInf_5	VisPeri	4S952	n/a
24	LH_Vis_24	Vis	7Networks_LH_Vis_24	46.0	17Networks_LH_VisPeri_ExStrInf_6	VisPeri	4S952	n/a
25	LH_Vis_25	Vis	7Networks_LH_Vis_25	18.0	17Networks_LH_VisCent_ExStr_15	VisCent	4S952	n/a
26	LH_Vis_26	Vis	7Networks_LH_Vis_26	19.0	17Networks_LH_VisCent_ExStr_16	VisCent	4S952	n/a
27	LH_Vis_27	Vis	7Networks_LH_Vis_27	1.0	17Networks_LH_VisCent_Striate_1	VisCent	4S952	n/a
28	LH_Vis_28	Vis	7Networks_LH_Vis_28	47.0	17Networks_LH_VisPeri_ExStrInf_7	VisPeri	4S952	n/a
29	LH_Vis_29	Vis	7Networks_LH_Vis_29	20.0	17Networks_LH_VisCent_ExStr_17	VisCent	4S952	n/a
30	LH_Vis_30	Vis	7Networks_LH_Vis_30	33.0	17Networks_LH_VisPeri_StriCal_1	VisPeri	4S952	n/a
31	LH_Vis_31	Vis	7Networks_LH_Vis_31	21.0	17Networks_LH_VisCent_ExStr_18	VisCent	4S952	n/a
32	LH_Vis_32	Vis	7Networks_LH_Vis_32	22.0	17Networks_LH_VisCent_ExStr_19	VisCent	4S952	n/a
33	LH_Vis_33	Vis	7Networks_LH_Vis_33	34.0	17Networks_LH_VisPeri_StriCal_2	VisPeri	4S952	n/a
34	LH_Vis_34	Vis	7Networks_LH_Vis_34	48.0	17Networks_LH_VisPeri_ExStrInf_8	VisPeri	4S952	n/a
35	LH_Vis_35	Vis	7Networks_LH_Vis_35	35.0	17Networks_LH_VisPeri_StriCal_3	VisPeri	4S952	n/a
36	LH_Vis_36	Vis	7Networks_LH_Vis_36	49.0	17Networks_LH_VisPeri_ExStrInf_9	VisPeri	4S952	n/a
37	LH_Vis_37	Vis	7Networks_LH_Vis_37	23.0	17Networks_LH_VisCent_ExStr_20	VisCent	4S952	n/a
38	LH_Vis_38	Vis	7Networks_LH_Vis_38	2.0	17Networks_LH_VisCent_Striate_2	VisCent	4S952	n/a
39	LH_Vis_39	Vis	7Networks_LH_Vis_39	36.0	17Networks_LH_VisPeri_StriCal_4	VisPeri	4S952	n/a
40	LH_Vis_40	Vis	7Networks_LH_Vis_40	3.0	17Networks_LH_VisCent_Striate_3	VisCent	4S952	n/a
41	LH_Vis_41	Vis	7Networks_LH_Vis_41	24.0	17Networks_LH_VisCent_ExStr_21	VisCent	4S952	n/a
42	LH_Vis_42	Vis	7Networks_LH_Vis_42	37.0	17Networks_LH_VisPeri_StriCal_5	VisPeri	4S952	n/a
43	LH_Vis_43	Vis	7Networks_LH_Vis_43	429.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	4S952	n/a
44	LH_Vis_44	Vis	7Networks_LH_Vis_44	25.0	17Networks_LH_VisCent_ExStr_22	VisCent	4S952	n/a
45	LH_Vis_45	Vis	7Networks_LH_Vis_45	50.0	17Networks_LH_VisPeri_ExStrSup_1	VisPeri	4S952	n/a
46	LH_Vis_46	Vis	7Networks_LH_Vis_46	147.0	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA	4S952	n/a
47	LH_Vis_47	Vis	7Networks_LH_Vis_47	38.0	17Networks_LH_VisPeri_StriCal_6	VisPeri	4S952	n/a
48	LH_Vis_48	Vis	7Networks_LH_Vis_48	39.0	17Networks_LH_VisPeri_StriCal_7	VisPeri	4S952	n/a
49	LH_Vis_49	Vis	7Networks_LH_Vis_49	26.0	17Networks_LH_VisCent_ExStr_23	VisCent	4S952	n/a
50	LH_Vis_50	Vis	7Networks_LH_Vis_50	27.0	17Networks_LH_VisCent_ExStr_24	VisCent	4S952	n/a
51	LH_Vis_51	Vis	7Networks_LH_Vis_51	51.0	17Networks_LH_VisPeri_ExStrSup_2	VisPeri	4S952	n/a
52	LH_Vis_52	Vis	7Networks_LH_Vis_52	28.0	17Networks_LH_VisCent_ExStr_25	VisCent	4S952	n/a
53	LH_Vis_53	Vis	7Networks_LH_Vis_53	40.0	17Networks_LH_VisPeri_StriCal_8	VisPeri	4S952	n/a
54	LH_Vis_54	Vis	7Networks_LH_Vis_54	52.0	17Networks_LH_VisPeri_ExStrSup_3	VisPeri	4S952	n/a
55	LH_Vis_55	Vis	7Networks_LH_Vis_55	53.0	17Networks_LH_VisPeri_ExStrSup_4	VisPeri	4S952	n/a
56	LH_Vis_56	Vis	7Networks_LH_Vis_56	29.0	17Networks_LH_VisCent_ExStr_26	VisCent	4S952	n/a
57	LH_Vis_57	Vis	7Networks_LH_Vis_57	54.0	17Networks_LH_VisPeri_ExStrSup_5	VisPeri	4S952	n/a
58	LH_Vis_58	Vis	7Networks_LH_Vis_58	55.0	17Networks_LH_VisPeri_ExStrSup_6	VisPeri	4S952	n/a
59	LH_Vis_59	Vis	7Networks_LH_Vis_59	30.0	17Networks_LH_VisCent_ExStr_27	VisCent	4S952	n/a
60	LH_Vis_60	Vis	7Networks_LH_Vis_60	150.0	17Networks_LH_DorsAttnA_ParOcc_4	DorsAttnA	4S952	n/a
61	LH_Vis_61	Vis	7Networks_LH_Vis_61	56.0	17Networks_LH_VisPeri_ExStrSup_7	VisPeri	4S952	n/a
62	LH_Vis_62	Vis	7Networks_LH_Vis_62	57.0	17Networks_LH_VisPeri_ExStrSup_8	VisPeri	4S952	n/a
63	LH_Vis_63	Vis	7Networks_LH_Vis_63	432.0	17Networks_LH_DefaultC_Rsp_4	DefaultC	4S952	n/a
64	LH_Vis_64	Vis	7Networks_LH_Vis_64	31.0	17Networks_LH_VisCent_ExStr_28	VisCent	4S952	n/a
65	LH_Vis_65	Vis	7Networks_LH_Vis_65	58.0	17Networks_LH_VisPeri_ExStrSup_9	VisPeri	4S952	n/a
66	LH_Vis_66	Vis	7Networks_LH_Vis_66	151.0	17Networks_LH_DorsAttnA_ParOcc_5	DorsAttnA	4S952	n/a
67	LH_Vis_67	Vis	7Networks_LH_Vis_67	59.0	17Networks_LH_VisPeri_ExStrSup_10	VisPeri	4S952	n/a
68	LH_Vis_68	Vis	7Networks_LH_Vis_68	60.0	17Networks_LH_VisPeri_ExStrSup_11	VisPeri	4S952	n/a
69	LH_Vis_69	Vis	7Networks_LH_Vis_69	32.0	17Networks_LH_VisCent_ExStr_29	VisCent	4S952	n/a
70	LH_Vis_70	Vis	7Networks_LH_Vis_70	61.0	17Networks_LH_VisPeri_ExStrSup_12	VisPeri	4S952	n/a
71	LH_Vis_71	Vis	7Networks_LH_Vis_71	152.0	17Networks_LH_DorsAttnA_ParOcc_6	DorsAttnA	4S952	n/a
72	LH_Vis_72	Vis	7Networks_LH_Vis_72	62.0	17Networks_LH_VisPeri_ExStrSup_13	VisPeri	4S952	n/a
73	LH_Vis_73	Vis	7Networks_LH_Vis_73	63.0	17Networks_LH_VisPeri_ExStrSup_14	VisPeri	4S952	n/a
74	LH_Vis_74	Vis	7Networks_LH_Vis_74	154.0	17Networks_LH_DorsAttnA_SPL_2	DorsAttnA	4S952	n/a
75	LH_Vis_75	Vis	7Networks_LH_Vis_75	64.0	17Networks_LH_VisPeri_ExStrSup_15	VisPeri	4S952	n/a
76	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	129.0	17Networks_LH_SomMotB_Aud_1	SomMotB	4S952	n/a
77	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	130.0	17Networks_LH_SomMotB_Aud_2	SomMotB	4S952	n/a
78	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	131.0	17Networks_LH_SomMotB_Aud_3	SomMotB	4S952	n/a
79	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	132.0	17Networks_LH_SomMotB_Aud_4	SomMotB	4S952	n/a
80	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	133.0	17Networks_LH_SomMotB_Aud_5	SomMotB	4S952	n/a
81	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	443.0	17Networks_LH_TempPar_5	TempPar	4S952	n/a
82	LH_SomMot_7	SomMot	7Networks_LH_SomMot_7	134.0	17Networks_LH_SomMotB_Aud_6	SomMotB	4S952	n/a
83	LH_SomMot_8	SomMot	7Networks_LH_SomMot_8	113.0	17Networks_LH_SomMotB_S2_1	SomMotB	4S952	n/a
84	LH_SomMot_9	SomMot	7Networks_LH_SomMot_9	135.0	17Networks_LH_SomMotB_Aud_7	SomMotB	4S952	n/a
85	LH_SomMot_10	SomMot	7Networks_LH_SomMot_10	128.0	17Networks_LH_SomMotB_Ins_1	SomMotB	4S952	n/a
86	LH_SomMot_11	SomMot	7Networks_LH_SomMot_11	446.0	17Networks_LH_TempPar_8	TempPar	4S952	n/a
87	LH_SomMot_12	SomMot	7Networks_LH_SomMot_12	136.0	17Networks_LH_SomMotB_Aud_8	SomMotB	4S952	n/a
88	LH_SomMot_13	SomMot	7Networks_LH_SomMot_13	114.0	17Networks_LH_SomMotB_S2_2	SomMotB	4S952	n/a
