index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	110.0	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA	4S756	n/a
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	338.0	17Networks_LH_DefaultC_PHC_3	DefaultC	4S756	n/a
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	112.0	17Networks_LH_DorsAttnA_TempOcc_3	DorsAttnA	4S756	n/a
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	5.0	17Networks_LH_VisCent_ExStr_1	VisCent	4S756	n/a
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	113.0	17Networks_LH_DorsAttnA_TempOcc_4	DorsAttnA	4S756	n/a
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	6.0	17Networks_LH_VisCent_ExStr_2	VisCent	4S756	n/a
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	7.0	17Networks_LH_VisCent_ExStr_3	VisCent	4S756	n/a
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	31.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	4S756	n/a
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	8.0	17Networks_LH_VisCent_ExStr_4	VisCent	4S756	n/a
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	339.0	17Networks_LH_DefaultC_PHC_4	DefaultC	4S756	n/a
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	9.0	17Networks_LH_VisCent_ExStr_5	VisCent	4S756	n/a
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	10.0	17Networks_LH_VisCent_ExStr_6	VisCent	4S756	n/a
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	32.0	17Networks_LH_VisPeri_ExStrInf_2	VisPeri	4S756	n/a
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	11.0	17Networks_LH_VisCent_ExStr_7	VisCent	4S756	n/a
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	12.0	17Networks_LH_VisCent_ExStr_8	VisCent	4S756	n/a
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	340.0	17Networks_LH_DefaultC_PHC_5	DefaultC	4S756	n/a
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	33.0	17Networks_LH_VisPeri_ExStrInf_3	VisPeri	4S756	n/a
18	LH_Vis_18	Vis	7Networks_LH_Vis_18	34.0	17Networks_LH_VisPeri_ExStrInf_4	VisPeri	4S756	n/a
19	LH_Vis_19	Vis	7Networks_LH_Vis_19	35.0	17Networks_LH_VisPeri_ExStrInf_5	VisPeri	4S756	n/a
20	LH_Vis_20	Vis	7Networks_LH_Vis_20	13.0	17Networks_LH_VisCent_ExStr_9	VisCent	4S756	n/a
21	LH_Vis_21	Vis	7Networks_LH_Vis_21	1.0	17Networks_LH_VisCent_Striate_1	VisCent	4S756	n/a
22	LH_Vis_22	Vis	7Networks_LH_Vis_22	14.0	17Networks_LH_VisCent_ExStr_10	VisCent	4S756	n/a
23	LH_Vis_23	Vis	7Networks_LH_Vis_23	36.0	17Networks_LH_VisPeri_ExStrInf_6	VisPeri	4S756	n/a
24	LH_Vis_24	Vis	7Networks_LH_Vis_24	2.0	17Networks_LH_VisCent_Striate_2	VisCent	4S756	n/a
25	LH_Vis_25	Vis	7Networks_LH_Vis_25	15.0	17Networks_LH_VisCent_ExStr_11	VisCent	4S756	n/a
26	LH_Vis_26	Vis	7Networks_LH_Vis_26	16.0	17Networks_LH_VisCent_ExStr_12	VisCent	4S756	n/a
27	LH_Vis_27	Vis	7Networks_LH_Vis_27	25.0	17Networks_LH_VisPeri_StriCal_1	VisPeri	4S756	n/a
28	LH_Vis_28	Vis	7Networks_LH_Vis_28	37.0	17Networks_LH_VisPeri_ExStrInf_7	VisPeri	4S756	n/a
29	LH_Vis_29	Vis	7Networks_LH_Vis_29	26.0	17Networks_LH_VisPeri_StriCal_2	VisPeri	4S756	n/a
30	LH_Vis_30	Vis	7Networks_LH_Vis_30	17.0	17Networks_LH_VisCent_ExStr_13	VisCent	4S756	n/a
31	LH_Vis_31	Vis	7Networks_LH_Vis_31	27.0	17Networks_LH_VisPeri_StriCal_3	VisPeri	4S756	n/a
32	LH_Vis_32	Vis	7Networks_LH_Vis_32	330.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	4S756	n/a
33	LH_Vis_33	Vis	7Networks_LH_Vis_33	18.0	17Networks_LH_VisCent_ExStr_14	VisCent	4S756	n/a
34	LH_Vis_34	Vis	7Networks_LH_Vis_34	3.0	17Networks_LH_VisCent_Striate_3	VisCent	4S756	n/a
35	LH_Vis_35	Vis	7Networks_LH_Vis_35	4.0	17Networks_LH_VisCent_Striate_4	VisCent	4S756	n/a
36	LH_Vis_36	Vis	7Networks_LH_Vis_36	38.0	17Networks_LH_VisPeri_ExStrInf_8	VisPeri	4S756	n/a
37	LH_Vis_37	Vis	7Networks_LH_Vis_37	19.0	17Networks_LH_VisCent_ExStr_15	VisCent	4S756	n/a
38	LH_Vis_38	Vis	7Networks_LH_Vis_38	20.0	17Networks_LH_VisCent_ExStr_16	VisCent	4S756	n/a
39	LH_Vis_39	Vis	7Networks_LH_Vis_39	28.0	17Networks_LH_VisPeri_StriCal_4	VisPeri	4S756	n/a
40	LH_Vis_40	Vis	7Networks_LH_Vis_40	29.0	17Networks_LH_VisPeri_StriCal_5	VisPeri	4S756	n/a
41	LH_Vis_41	Vis	7Networks_LH_Vis_41	117.0	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA	4S756	n/a
42	LH_Vis_42	Vis	7Networks_LH_Vis_42	30.0	17Networks_LH_VisPeri_StriCal_6	VisPeri	4S756	n/a
43	LH_Vis_43	Vis	7Networks_LH_Vis_43	21.0	17Networks_LH_VisCent_ExStr_17	VisCent	4S756	n/a
44	LH_Vis_44	Vis	7Networks_LH_Vis_44	118.0	17Networks_LH_DorsAttnA_ParOcc_2	DorsAttnA	4S756	n/a
45	LH_Vis_45	Vis	7Networks_LH_Vis_45	22.0	17Networks_LH_VisCent_ExStr_18	VisCent	4S756	n/a
46	LH_Vis_46	Vis	7Networks_LH_Vis_46	39.0	17Networks_LH_VisPeri_ExStrSup_1	VisPeri	4S756	n/a
47	LH_Vis_47	Vis	7Networks_LH_Vis_47	40.0	17Networks_LH_VisPeri_ExStrSup_2	VisPeri	4S756	n/a
48	LH_Vis_48	Vis	7Networks_LH_Vis_48	41.0	17Networks_LH_VisPeri_ExStrSup_3	VisPeri	4S756	n/a
49	LH_Vis_49	Vis	7Networks_LH_Vis_49	23.0	17Networks_LH_VisCent_ExStr_19	VisCent	4S756	n/a
50	LH_Vis_50	Vis	7Networks_LH_Vis_50	42.0	17Networks_LH_VisPeri_ExStrSup_4	VisPeri	4S756	n/a
