index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
46	LH_SomMot_15	SomMot	7Networks_LH_SomMot_15	74.0	17Networks_LH_DorsAttnB_PostC_2	DorsAttnB	4S456	n/a
47	LH_SomMot_16	SomMot	7Networks_LH_SomMot_16	58.0	17Networks_LH_SomMotB_Cent_4	SomMotB	4S456	n/a
48	LH_SomMot_17	SomMot	7Networks_LH_SomMot_17	59.0	17Networks_LH_SomMotB_Cent_5	SomMotB	4S456	n/a
49	LH_SomMot_18	SomMot	7Networks_LH_SomMot_18	25.0	17Networks_LH_SomMotA_1	SomMotA	4S456	n/a
50	LH_SomMot_19	SomMot	7Networks_LH_SomMot_19	26.0	17Networks_LH_SomMotA_2	SomMotA	4S456	n/a
51	LH_SomMot_20	SomMot	7Networks_LH_SomMot_20	27.0	17Networks_LH_SomMotA_3	SomMotA	4S456	n/a
52	LH_SomMot_21	SomMot	7Networks_LH_SomMot_21	28.0	17Networks_LH_SomMotA_4	SomMotA	4S456	n/a
53	LH_SomMot_22	SomMot	7Networks_LH_SomMot_22	29.0	17Networks_LH_SomMotA_5	SomMotA	4S456	n/a
54	LH_SomMot_23	SomMot	7Networks_LH_SomMot_23	30.0	17Networks_LH_SomMotA_6	SomMotA	4S456	n/a
55	LH_SomMot_24	SomMot	7Networks_LH_SomMot_24	31.0	17Networks_LH_SomMotA_7	SomMotA	4S456	n/a
56	LH_SomMot_25	SomMot	7Networks_LH_SomMot_25	32.0	17Networks_LH_SomMotA_8	SomMotA	4S456	n/a
57	LH_SomMot_26	SomMot	7Networks_LH_SomMot_26	33.0	17Networks_LH_SomMotA_9	SomMotA	4S456	n/a
58	LH_SomMot_27	SomMot	7Networks_LH_SomMot_27	78.0	17Networks_LH_DorsAttnB_PostC_6	DorsAttnB	4S456	n/a
59	LH_SomMot_28	SomMot	7Networks_LH_SomMot_28	34.0	17Networks_LH_SomMotA_10	SomMotA	4S456	n/a
60	LH_SomMot_29	SomMot	7Networks_LH_SomMot_29	35.0	17Networks_LH_SomMotA_11	SomMotA	4S456	n/a
61	LH_SomMot_30	SomMot	7Networks_LH_SomMot_30	36.0	17Networks_LH_SomMotA_12	SomMotA	4S456	n/a
62	LH_SomMot_31	SomMot	7Networks_LH_SomMot_31	37.0	17Networks_LH_SomMotA_13	SomMotA	4S456	n/a
63	LH_SomMot_32	SomMot	7Networks_LH_SomMot_32	38.0	17Networks_LH_SomMotA_14	SomMotA	4S456	n/a
64	LH_SomMot_33	SomMot	7Networks_LH_SomMot_33	39.0	17Networks_LH_SomMotA_15	SomMotA	4S456	n/a
65	LH_SomMot_34	SomMot	7Networks_LH_SomMot_34	40.0	17Networks_LH_SomMotA_16	SomMotA	4S456	n/a
66	LH_SomMot_35	SomMot	7Networks_LH_SomMot_35	41.0	17Networks_LH_SomMotA_17	SomMotA	4S456	n/a
67	LH_SomMot_36	SomMot	7Networks_LH_SomMot_36	42.0	17Networks_LH_SomMotA_18	SomMotA	4S456	n/a
68	LH_SomMot_37	SomMot	7Networks_LH_SomMot_37	43.0	17Networks_LH_SomMotA_19	SomMotA	4S456	n/a
69	LH_DorsAttn_Post_1	DorsAttn	7Networks_LH_DorsAttn_Post_1	60.0	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA	4S456	n/a
70	LH_DorsAttn_Post_2	DorsAttn	7Networks_LH_DorsAttn_Post_2	62.0	17Networks_LH_DorsAttnA_TempOcc_3	DorsAttnA	4S456	n/a
71	LH_DorsAttn_Post_3	DorsAttn	7Networks_LH_DorsAttn_Post_3	121.0	17Networks_LH_ContA_Temp_1	ContA	4S456	n/a
72	LH_DorsAttn_Post_4	DorsAttn	7Networks_LH_DorsAttn_Post_4	64.0	17Networks_LH_DorsAttnA_ParOcc_1	DorsAttnA	4S456	n/a
73	LH_DorsAttn_Post_5	DorsAttn	7Networks_LH_DorsAttn_Post_5	66.0	17Networks_LH_DorsAttnA_SPL_1	DorsAttnA	4S456	n/a
74	LH_DorsAttn_Post_6	DorsAttn	7Networks_LH_DorsAttn_Post_6	75.0	17Networks_LH_DorsAttnB_PostC_3	DorsAttnB	4S456	n/a
75	LH_DorsAttn_Post_7	DorsAttn	7Networks_LH_DorsAttn_Post_7	68.0	17Networks_LH_DorsAttnA_SPL_3	DorsAttnA	4S456	n/a
76	LH_DorsAttn_Post_8	DorsAttn	7Networks_LH_DorsAttn_Post_8	76.0	17Networks_LH_DorsAttnB_PostC_4	DorsAttnB	4S456	n/a
77	LH_DorsAttn_Post_9	DorsAttn	7Networks_LH_DorsAttn_Post_9	126.0	17Networks_LH_ContA_IPS_5	ContA	4S456	n/a
78	LH_DorsAttn_Post_10	DorsAttn	7Networks_LH_DorsAttn_Post_10	69.0	17Networks_LH_DorsAttnA_SPL_4	DorsAttnA	4S456	n/a
79	LH_DorsAttn_Post_11	DorsAttn	7Networks_LH_DorsAttn_Post_11	77.0	17Networks_LH_DorsAttnB_PostC_5	DorsAttnB	4S456	n/a
80	LH_DorsAttn_Post_12	DorsAttn	7Networks_LH_DorsAttn_Post_12	70.0	17Networks_LH_DorsAttnA_SPL_5	DorsAttnA	4S456	n/a
81	LH_DorsAttn_Post_13	DorsAttn	7Networks_LH_DorsAttn_Post_13	71.0	17Networks_LH_DorsAttnA_SPL_6	DorsAttnA	4S456	n/a
82	LH_DorsAttn_Post_14	DorsAttn	7Networks_LH_DorsAttn_Post_14	72.0	17Networks_LH_DorsAttnA_SPL_7	DorsAttnA	4S456	n/a
83	LH_DorsAttn_Post_15	DorsAttn	7Networks_LH_DorsAttn_Post_15	79.0	17Networks_LH_DorsAttnB_PostC_7	DorsAttnB	4S456	n/a
84	LH_DorsAttn_Post_16	DorsAttn	7Networks_LH_DorsAttn_Post_16	80.0	17Networks_LH_DorsAttnB_PostC_8	DorsAttnB	4S456	n/a
85	LH_DorsAttn_Post_17	DorsAttn	7Networks_LH_DorsAttn_Post_17	81.0	17Networks_LH_DorsAttnB_PostC_9	DorsAttnB	4S456	n/a
86	LH_DorsAttn_FEF_1	DorsAttn	7Networks_LH_DorsAttn_FEF_1	82.0	17Networks_LH_DorsAttnB_FEF_1	DorsAttnB	4S456	n/a
87	LH_DorsAttn_FEF_2	DorsAttn	7Networks_LH_DorsAttn_FEF_2	83.0	17Networks_LH_DorsAttnB_FEF_2	DorsAttnB	4S456	n/a
88	LH_DorsAttn_FEF_3	DorsAttn	7Networks_LH_DorsAttn_FEF_3	84.0	17Networks_LH_DorsAttnB_FEF_3	DorsAttnB	4S456	n/a
89	LH_DorsAttn_FEF_4	DorsAttn	7Networks_LH_DorsAttn_FEF_4	127.0	17Networks_LH_ContA_PFCd_1	ContA	4S456	n/a
90	LH_DorsAttn_PrCv_1	DorsAttn	7Networks_LH_DorsAttn_PrCv_1	130.0	17Networks_LH_ContA_PFCl_1	ContA	4S456	n/a
91	LH_DorsAttn_PrCv_2	DorsAttn	7Networks_LH_DorsAttn_PrCv_2	85.0	17Networks_LH_DorsAttnB_PrCv_1	DorsAttnB	4S456	n/a
92	LH_SalVentAttn_ParOper_1	SalVentAttn	7Networks_LH_SalVentAttn_ParOper_1	86.0	17Networks_LH_SalVentAttnA_ParOper_1	SalVentAttnA	4S456	n/a
93	LH_SalVentAttn_ParOper_2	SalVentAttn	7Networks_LH_SalVentAttn_ParOper_2	87.0	17Networks_LH_SalVentAttnA_ParOper_2	SalVentAttnA	4S456	n/a
94	LH_SalVentAttn_ParOper_3	SalVentAttn	7Networks_LH_SalVentAttn_ParOper_3	73.0	17Networks_LH_DorsAttnB_PostC_1	DorsAttnB	4S456	n/a
95	LH_SalVentAttn_ParOper_4	SalVentAttn	7Networks_LH_SalVentAttn_ParOper_4	88.0	17Networks_LH_SalVentAttnA_ParOper_3	SalVentAttnA	4S456	n/a
96	LH_SalVentAttn_TempOcc_1	SalVentAttn	7Networks_LH_SalVentAttn_TempOcc_1	199.0	17Networks_LH_TempPar_5	TempPar	4S456	n/a
97	LH_SalVentAttn_FrOperIns_1	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_1	120.0	17Networks_LH_LimbicA_TempPole_7	LimbicA	4S456	n/a
98	LH_SalVentAttn_FrOperIns_2	SalVentAttn	7Networks_LH_SalVentAttn_FrOperIns_2	89.0	17Networks_LH_SalVentAttnA_Ins_1	SalVentAttnA	4S456	n/a
