index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	148.0	17Networks_LH_DorsAttnA_TempOcc_1	DorsAttnA	4S1056	n/a
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	5.0	17Networks_LH_VisCent_ExStr_1	VisCent	4S1056	n/a
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	151.0	17Networks_LH_DorsAttnA_TempOcc_4	DorsAttnA	4S1056	n/a
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	6.0	17Networks_LH_VisCent_ExStr_2	VisCent	4S1056	n/a
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	482.0	17Networks_LH_DefaultC_PHC_4	DefaultC	4S1056	n/a
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	7.0	17Networks_LH_VisCent_ExStr_3	VisCent	4S1056	n/a
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	152.0	17Networks_LH_DorsAttnA_TempOcc_5	DorsAttnA	4S1056	n/a
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	45.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	4S1056	n/a
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	8.0	17Networks_LH_VisCent_ExStr_4	VisCent	4S1056	n/a
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	9.0	17Networks_LH_VisCent_ExStr_5	VisCent	4S1056	n/a
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	10.0	17Networks_LH_VisCent_ExStr_6	VisCent	4S1056	n/a
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	11.0	17Networks_LH_VisCent_ExStr_7	VisCent	4S1056	n/a
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	46.0	17Networks_LH_VisPeri_ExStrInf_2	VisPeri	4S1056	n/a
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	12.0	17Networks_LH_VisCent_ExStr_8	VisCent	4S1056	n/a
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	13.0	17Networks_LH_VisCent_ExStr_9	VisCent	4S1056	n/a
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	47.0	17Networks_LH_VisPeri_ExStrInf_3	VisPeri	4S1056	n/a
